city,year,quarter,freight_in,freight_out,pass_in,pass_out,ind_in,ind_out
Город,Год,Квартал,"Количество грузовых транспортных средств, перемещенных через пункт пропуска ","Количество грузовых транспортных средств, перемещенных через пункт пропуска ","Количество пассажирских транспортных средств, перемещенных через пункт пропуска ","Количество пассажирских транспортных средств, перемещенных через пункт пропуска ","Количество физических лиц, проследовавших через пункт пропуска","Количество физических лиц, проследовавших через пункт пропуска"
,,,В Россию,Из России,В Россию,Из России,В Россию,Из России
Иркутск,2020,3,1,2,503,499,85802,73478
Иркутск,2020,6,2,11,11,13,1320,356
Иркутск,2020,9,0,0,11,11,340,516
Иркутск,2020,12,6,8,15,15,140,1357
Казань,2018,3,3,2,613,602,72964,69799
Казань,2018,6,8,1,1181,1176,162006,174662
Казань,2018,9,9,4,1378,1385,223516,221052
Казань,2018,12,1,1,746,737,103854,96156
Казань,2019,3,0,0,576,570,71807,68349
Казань,2019,6,2,2,1101,1107,186396,197634
Казань,2019,9,1,2,1293,1302,254112,255787
Казань,2019,12,4,6,843,842,142094,135124
Казань,2020,3,0,0,542,538,83591,73554
Казань,2020,6,94,93,33,31,1427,844
Казань,2020,9,83,84,371,373,56219,72600
Казань,2020,12,97,68,522,503,84805,77216
Калининград,2018,3,0,0,105,107,5215,5002
Калининград,2018,6,0,0,390,397,31626,34353
Калининград,2018,9,0,0,335,336,35077,34933
Калининград,2018,12,0,0,205,203,18279,16766
Калининград,2019,3,0,0,166,167,12693,11312
Калининград,2019,6,0,0,278,279,25888,26987
Калининград,2019,9,0,0,315,312,30379,29898
Калининград,2019,12,0,0,160,166,13086,13913
Калининград,2020,3,0,0,97,92,4385,4281
Калининград,2020,6,0,0,18,16,1130,1024
Калининград,2020,9,0,0,66,70,3088,4091
Калининград,2020,12,0,0,55,56,5169,4109
Калуга,2018,3,0,0,8,0,220,211
Калуга,2018,6,0,0,24,23,2798,3087
Калуга,2018,9,0,0,17,18,1978,1613
Калуга,2018,12,0,0,10,11,257,320
Калуга,2019,3,0,0,10,8,288,232
Калуга,2019,6,0,0,14,29,1312,3646
Калуга,2019,9,0,0,33,29,4227,4043
Калуга,2019,12,0,0,12,15,199,304
Калуга,2020,3,0,0,8,7,188,139
Калуга,2020,6,0,0,1,1,10,8
Калуга,2020,9,0,0,3,2,42,47
Калуга,2020,12,0,0,6,3,57,59
Кемерово,2018,3,0,0,62,61,14696,14730
Кемерово,2018,6,0,0,91,89,20275,21445
Кемерово,2018,9,0,0,119,121,28792,28905
Кемерово,2018,12,0,0,76,75,16633,15466
