index_date,index_value
2018-08-06,46351
2018-08-07,46402
2018-08-08,46396
2018-08-09,46348
2018-08-10,46376
2018-08-13,46357
2018-08-14,46361
2018-08-15,46385
2018-08-16,46303
2018-08-17,46303
2018-08-20,46303
2018-08-21,46296
2018-08-22,46299
2018-08-23,46301
2018-08-24,46291
2018-08-27,46289
2018-08-28,46294
2018-08-29,46308
2018-08-30,46303
2018-08-31,46298
2018-09-03,46303
2018-09-04,46380
2018-09-05,46379
2018-09-06,46403
2018-09-07,46441
2018-09-10,46489
2018-09-11,46411
2018-09-12,46379
2018-09-13,46373
2018-09-14,46372
2018-09-17,46378
2018-09-18,46602
2018-09-19,46612
2018-09-20,46618
2018-09-21,46622
2018-09-24,46698
2018-09-25,46901
2018-09-26,46840
2018-09-27,46780
2018-09-28,46801
2018-10-01,46805
2018-10-02,47046
2018-10-03,47061
2018-10-04,47113
2018-10-05,47608
2018-10-08,48302
2018-10-09,48301
2018-10-10,48308
2018-10-11,48305
2018-10-12,48455
2018-10-15,48457
2018-10-16,48447
2018-10-17,48452
2018-10-18,48450
2018-10-19,48404
2018-10-22,48404
2018-10-23,48399
2018-10-24,48406
2018-10-25,48397
2018-10-26,48407
2018-10-29,48407
2018-10-30,48410
2018-10-31,48411
2018-11-01,48401
2018-11-02,48508
2018-11-06,48515
2018-11-07,48622
2018-11-08,48533
2018-11-09,48513
2018-11-12,48625
2018-11-13,48878
2018-11-14,48883
2018-11-15,48873
2018-11-16,48879
2018-11-19,48863
2018-11-20,48893
2018-11-21,48899
2018-11-22,48956
2018-11-23,48912
2018-11-26,48904
2018-11-27,48908
2018-11-28,48894
2018-11-29,48557
2018-11-30,48542
2018-12-03,48206
2018-12-04,48209
2018-12-05,48203
2018-12-06,48206
2018-12-07,48200
2018-12-10,48205
2018-12-11,48202
2018-12-12,48210
2018-12-13,48212
2018-12-14,48203
2018-12-17,48209
2018-12-18,48207
2018-12-19,48202
2018-12-20,48216
2018-12-21,46814
2018-12-24,45580
2019-01-09,45315
2019-01-10,45313
2019-01-11,45312
2019-01-14,45309
2019-01-15,45315
2019-01-16,45318
2019-01-17,45317
2019-01-18,45298
2019-01-21,45314
2019-01-22,45310
2019-01-23,45313
2019-01-24,45308
2019-01-25,45311
2019-01-28,45308
2019-01-29,45312
2019-01-30,45310
2019-01-31,45303
2019-02-01,45305
2019-02-04,45309
2019-02-05,45295
2019-02-06,45303
2019-02-07,45305
2019-02-08,45309
2019-02-11,45300
2019-02-12,45313
2019-02-13,45302
2019-02-14,45307
2019-02-15,45303
2019-02-18,45315
2019-02-19,45312
2019-02-20,45320
2019-02-21,45315
2019-02-22,45275
2019-02-25,45310
2019-02-26,45313
2019-02-27,45310
2019-02-28,45310
2019-03-01,45306
2019-03-04,45301
2019-03-05,45241
2019-03-06,45231
2019-03-07,45299
2019-03-11,45302
2019-03-12,45301
2019-03-13,45304
2019-03-14,45304
2019-03-15,45313
2019-03-18,45309
2019-03-19,45306
2019-03-20,45306
2019-03-21,45311
2019-03-22,45313
2019-03-25,45311
2019-03-26,45316
2019-03-27,45306
2019-03-28,45313
2019-03-29,45309
2019-04-01,45306
2019-04-02,45317
2019-04-03,45308
2019-04-04,45306
2019-04-05,45309
2019-04-08,45305
2019-04-09,45298
2019-04-10,45298
2019-04-11,45301
2019-04-12,45303
2019-04-15,45315
2019-04-16,45313
2019-04-17,45310
2019-04-18,45320
2019-04-19,45315
2019-04-22,45310
2019-04-23,45385
2019-04-24,45701
2019-04-25,45803
2019-04-26,45995
2019-04-29,46295
2019-04-30,46203
2019-05-06,46209
2019-05-07,46201
2019-05-08,46178
2019-05-13,46173
2019-05-14,46175
2019-05-15,46179
2019-05-16,46168
2019-05-17,46172
2019-05-20,46174
2019-05-21,46175
2019-05-22,46161
2019-05-23,46419
2019-05-24,46170
2019-05-27,46175
2019-05-28,46253
2019-05-29,46908
2019-05-30,46951
2019-05-31,46947
2019-06-03,46954
2019-06-04,46952
2019-06-05,46954
2019-06-06,46985
2019-06-07,47045
2019-06-10,47283
2019-06-11,47597
2019-06-13,47568
2019-06-14,47572
2019-06-17,47464
2019-06-18,47458
2019-06-19,46958
2019-06-20,46950
2019-06-21,46950
2019-06-24,46958
2019-06-25,46952
2019-06-26,46951
2019-06-27,46948
2019-06-28,46953
2019-07-01,46948
2019-07-02,46950
2019-07-03,46953
2019-07-04,46950
2019-07-05,46950
2019-07-08,46955
2019-07-09,46951
2019-07-10,46948
2019-07-11,46950
2019-07-12,46949
2019-07-15,46949
2019-07-16,46946
2019-07-17,46950
2019-07-18,46953
2019-07-19,46896
2019-07-22,46971
2019-07-23,46572
2019-07-24,46997
2019-07-25,47022
2019-07-26,47003
2019-07-29,46991
2019-07-30,46952
2019-07-31,46953
2019-08-01,46946
2019-08-02,46955
2019-08-05,46948
2019-08-06,46952
2019-08-07,46952
2019-08-08,46952
2019-08-09,46959
2019-08-12,46954
2019-08-13,46954
2019-08-14,46951
2019-08-15,46956
2019-08-16,46953
2019-08-19,46951
2019-08-20,46953
2019-08-21,46952
2019-08-22,46953
2019-08-23,46952
2019-08-26,46954
2019-08-27,46950
2019-08-28,46950
2019-08-29,46958
2019-08-30,46951
2019-09-02,46952
2019-09-03,46953
2019-09-04,46958
2019-09-05,46949
2019-09-06,46957
2019-09-09,46951
2019-09-10,46948
2019-09-11,46944
2019-09-12,46948
2019-09-13,46952
2019-09-16,46953
2019-09-17,46945
2019-09-18,46952
2019-09-19,46953
2019-09-20,46944
2019-09-23,46953
2019-09-24,46948
2019-09-25,46953
2019-09-26,46945
2019-09-27,47443
2019-09-30,47648
2019-10-01,47646
2019-10-02,47651
2019-10-03,47688
2019-10-04,47685
2019-10-07,47651
2019-10-08,47674
2019-10-09,47646
2019-10-10,47680
2019-10-11,47675
2019-10-14,47678
2019-10-15,47672
2019-10-16,47665
2019-10-17,47667
2019-10-18,47672
2019-10-21,47672
2019-10-22,47672
2019-10-23,47682
2019-10-24,47668
2019-10-25,47705
2019-10-28,47705
2019-10-29,47635
2019-10-30,47645
2019-10-31,47709
2019-11-01,47705
2019-11-05,47712
2019-11-06,47798
2019-11-07,47780
2019-11-08,47770
2019-11-11,47749
2019-11-12,47739
2019-11-13,47741
2019-11-14,47748
2019-11-15,47752
2019-11-18,47753
2019-11-19,47750
2019-11-20,47748
2019-11-21,47742
2019-11-22,47727
2019-11-25,47729
2019-11-26,47646
2019-11-27,47767
2019-11-28,47768
2019-11-29,47771
2019-12-02,47767
2019-12-03,47720
2019-12-04,47701
2019-12-05,47663
2019-12-06,47751
2019-12-09,47775
2019-12-10,47751
2019-12-11,47758
2019-12-12,47756
2019-12-13,47757
2019-12-16,47759
2019-12-17,47788
2019-12-18,47780
2019-12-19,47786
2019-12-20,47273
2019-12-23,47113
2019-12-24,47112
2020-01-09,47108
2020-01-10,47114
2020-01-13,47111
2020-01-14,47108
2020-01-15,47109
2020-01-16,47156
2020-01-17,47156
2020-01-20,47155
2020-01-21,47133
2020-01-22,47080
2020-01-23,47048
2020-01-24,46993
2020-01-27,45969
2020-01-28,45112
2020-01-29,45115
2020-01-30,45108
2020-01-31,45113
2020-02-03,45122
2020-02-04,45114
2020-02-05,45114
2020-02-06,45124
2020-02-07,45151
2020-02-10,45125
2020-02-11,45131
2020-02-12,45128
2020-02-13,45131
2020-02-14,45105
2020-02-17,45155
2020-02-18,45156
2020-02-19,45152
2020-02-20,43966
2020-02-21,41805
2020-02-25,40155
2020-02-26,40156
2020-02-27,40152
2020-02-28,40152
2020-03-02,40150
2020-03-03,40155
2020-03-04,40145
2020-03-05,39693
2020-03-06,40115
2020-03-10,40135
2020-03-11,38810
2020-03-12,37513
2020-03-13,37115
2020-03-16,37100
2020-03-17,37109
2020-03-18,37113
2020-03-19,25996
2020-03-20,28950
2020-03-23,28110
2020-03-24,30105
2020-03-25,30103
2020-03-26,30103
2020-03-27,30105
2020-03-30,30107
2020-03-31,30104
2020-04-01,28605
2020-04-02,28603
2020-04-03,28605
2020-04-06,28120
2020-04-07,28100
2020-04-08,28120
2020-04-09,28105
2020-04-10,28115
2020-04-13,28105
2020-04-14,28100
2020-04-15,27720
2020-04-16,27715
2020-04-17,27556
2020-04-20,27470
2020-04-21,26970
2020-04-22,26970
2020-04-23,25200
2020-04-24,25200
2020-04-27,25125
2020-04-28,24620
2020-04-29,24610
2020-04-30,24520
2020-05-06,25016
2020-05-07,25259
2020-05-08,24900
2020-05-12,24905
2020-05-13,24500
2020-05-14,24910
2020-05-15,25430
2020-05-18,26994
2020-05-19,28002
2020-05-20,28994
2020-05-21,29000
2020-05-22,28610
2020-05-25,28600
2020-05-26,27109
2020-05-27,26600
2020-05-28,26106
2020-05-29,27600
2020-06-01,27601
2020-06-02,27615
2020-06-03,27600
2020-06-04,28503
2020-06-05,28508
2020-06-08,28510
2020-06-09,28505
2020-06-10,28507
2020-06-11,29009
2020-06-15,30015
2020-06-16,30008
2020-06-17,30005
2020-06-18,30605
2020-06-19,31108
2020-06-22,31605
2020-06-23,32110
2020-06-25,32113
2020-06-26,32612
2020-06-29,33109
2020-06-30,33106
2020-07-02,33099
2020-07-03,33103
2020-07-06,33098
2020-07-07,33102
2020-07-08,33096
2020-07-09,33102
2020-07-10,33104
2020-07-13,33108
2020-07-14,33101
2020-07-15,33106
2020-07-16,33094
2020-07-17,33098
2020-07-20,33097
2020-07-21,33095
2020-07-22,33100
2020-07-23,33092
2020-07-24,33088
2020-07-27,33095
2020-07-28,33101
2020-07-29,33101
2020-07-30,33105
2020-07-31,33104
2020-08-03,33096
2020-08-04,33248
2020-08-05,33249
2020-08-06,33250
2020-08-07,33256
2020-08-10,33250
2020-08-11,33250
2020-08-12,33093
2020-08-13,33108
2020-08-14,33108
2020-08-17,33095
2020-08-18,33170
2020-08-19,33180
2020-08-20,33175
2020-08-21,33181
2020-08-24,33156
2020-08-25,33106
2020-08-26,33115
2020-08-27,33365
2020-08-28,33123
2020-08-31,33110
2020-09-01,33705
2020-09-02,33710
2020-09-03,33704
2020-09-04,33706
2020-09-07,33712
2020-09-08,33705
2020-09-09,33702
2020-09-10,33702
2020-09-11,33696
2020-09-14,33696
2020-09-15,33699
2020-09-16,33706
2020-09-17,33708
2020-09-18,33704
2020-09-21,33703
2020-09-22,33705
2020-09-23,33702
2020-09-24,33703
2020-09-25,33705
2020-09-28,34104
2020-09-29,34105
2020-09-30,34104
2020-10-01,34106
2020-10-02,34105
2020-10-05,34105
2020-10-06,34105
2020-10-07,34105
2020-10-08,34104
2020-10-09,34107
2020-10-12,34103
2020-10-13,34105
2020-10-14,34105
2020-10-15,34106
2020-10-16,34105
2020-10-19,34102
2020-10-20,34105
2020-10-21,34106
2020-10-22,34106
2020-10-23,34104
2020-10-26,34104
2020-10-27,34107
2020-10-28,34106
2020-10-29,34259
2020-10-30,35204
2020-11-02,35203
2020-11-03,35205
2020-11-05,35205
2020-11-06,35204
2020-11-09,35205
2020-11-10,35208
2020-11-11,35209
2020-11-12,35208
2020-11-13,35211
2020-11-16,35215
2020-11-17,35305
2020-11-18,35306
2020-11-19,35892
2020-11-20,36700
2020-11-23,36698
2020-11-24,36705
2020-11-25,37203
2020-11-26,37206
2020-11-27,37343
2020-11-30,37205
2020-12-01,37210
2020-12-02,37206
2020-12-03,37348
2020-12-04,37206
2020-12-07,37220
2020-12-08,37203
2020-12-09,37204
2020-12-10,37204
2020-12-11,37203
2020-12-14,36585
2020-12-15,34433
2020-12-16,33931
2020-12-17,33857
2020-12-18,34142
2020-12-21,34152
2020-12-22,34187
2020-12-23,34201
2020-12-24,34523
2021-01-11,34705
2021-01-12,34703
2021-01-13,34707
2021-01-14,34708
2021-01-15,34703
2021-01-18,34708
2021-01-19,34705
2021-01-20,34707
2021-01-21,34706
2021-01-22,34939
2021-01-25,36705
2021-01-26,35244
2021-01-27,34822
2021-01-28,35582
2021-01-29,36015
2021-02-01,36005
2021-02-02,36017
2021-02-03,36041
2021-02-04,35992
2021-02-05,36009
2021-02-08,35998
2021-02-09,36016
2021-02-10,35998
2021-02-11,36008
2021-02-12,36003
2021-02-15,36008
2021-02-16,36747
2021-02-17,38456
2021-02-18,39198
2021-02-19,39209
2021-02-20,39199
2021-02-24,39209
2021-02-25,39216
2021-02-26,39202
2021-03-01,39329
2021-03-02,39268
2021-03-03,39322
2021-03-04,39406
2021-03-05,39305
2021-03-09,39259
2021-03-10,39233
2021-03-11,39677
2021-03-12,41605
2021-03-15,41612
2021-03-16,42102
2021-03-17,42452
2021-03-18,42454
2021-03-19,43088
2021-03-22,43101
2021-03-23,43076
2021-03-24,43165
2021-03-25,43133
2021-03-26,43363
2021-03-29,43129
2021-03-30,43128
2021-03-31,43129
2021-04-01,43110
2021-04-02,43181
2021-04-05,43106
2021-04-06,43094
2021-04-07,43106
2021-04-08,43095
2021-04-09,43101
2021-04-12,43107
2021-04-13,43097
2021-04-14,43102
2021-04-15,43097
2021-04-16,43100
2021-04-19,43093
2021-04-20,43098
2021-04-21,43101
2021-04-22,43096
2021-04-23,43102
2021-04-26,43103
2021-04-27,43102
2021-04-28,43253
2021-04-29,43461
2021-04-30,43531
2021-05-04,43499
2021-05-05,43503
2021-05-06,43508
2021-05-07,43496
2021-05-11,43552
2021-05-12,43564
2021-05-13,43586
2021-05-14,44360
2021-05-17,44401
2021-05-18,44404
2021-05-19,45055
2021-05-20,45887
2021-05-21,45998
