,Дальневосточный федеральный округ,Приволжский федеральный округ,Российская Федерация,Северо-Западный федеральный округ,Северо-Кавказский федеральный округ,Сибирский федеральный округ,Уральский федеральный округ,Южный федеральный округ
2017-07-01,"19113,25","13193,22","13813,86","13442,29","13652,12","12972,43","13568,33","16930,71"
2017-08-01,"20132,49","14186,48","14356,43","14698,66","14934,52","14124,73","13632,37","19145,06"
2017-09-01,"20871,41","15428,48","15502,25","16787,96","16365,39","15637,79","14644,63","20142,95"
2017-10-01,"21531,98","15362,66","15870,03","16916,16","17435,99","16261,53","15130,81","22667,06"
2017-11-01,"23060,63","16226,23","16444,93","17185,08","16510,58","16803,41","15567,69","22344,96"
2017-12-01,"25656,17","17379,78","17922,99","20001,81","19406,55","19012,76","16612,5","25139,09"
2018-01-01,"25874,75","19000,13","19302,37","20061,58","18750,95","19071,99","18062,02","26282,03"
2018-02-01,"26942,06","19369,14","19799,16","21021,09","20345,53","19912,57","18413,33","25523,75"
2018-03-01,"25289,62","16933,22","18458,49","19142,02","17803,27","18239,78","17873,63","24775,54"
2018-04-01,"26265,42","17690,98","18472,32","18297,56","18241,56","18437,11","17388,1","24917,88"
2018-05-01,"30106,53","21033,32","21072,05","23267,21","21616,62","21970,86","18777,36","29217,73"
2018-06-01,"33411,42","23782,44","24545,82","25581,37","23672,11","24735,32","22856,03","32143,02"
2018-07-01,"33367,6","23218,55","23715,77","23741,45","22664,89","23528,77","22003,48","31709,58"
2018-08-01,"33355,16","22218,65","23091,93","23213,67","21708,01","22662,19","21726,58","30936,62"
2018-09-01,"33567,92","22787,44","23565,66","23964,61","22232,06","24288,91","21842,59","31668,35"
2018-10-01,"37276,43","26182,18","26486,43","28013,15","26043,43","27504,38","23863,4","35590,46"
2018-11-01,"37267,21","25753,82","27058,04","28055,29","26465,29","26940,69","25473,68","35509,81"
2018-12-01,"31457,88","19849,81","22842,24","18296,94","18092,23","19719,05","24488,73","25564,97"
2019-01-01,"28655,84","17152,25","20971,12","15178,35","16035,57","18084,03","23369,7","21788,38"
2019-02-01,"29280,06","20018,45","22167,07","21128,32","19486,58","21539,7","22245,75","25942,04"
2019-03-01,"30853,08","22413,86","23769,17","23984,08","20570,69","23682,47","22992,57","27856,99"
2019-04-01,"32150,57",22762,"23998,02","25029,52","21348,44","23760,57","23010,43","26111,2"
2019-05-01,"33049,12","24278,38","25476,2","26826,22","23499,94","25104,33","24367,29","31024,59"
2019-06-01,"31291,2","23975,62","24864,47","26095,76","23793,71","23382,93","23977,66","29803,1"
2019-07-01,"27954,76","20473,54","21365,01","21504,51","20092,22","20406,13","20265,47","26629,25"
2019-08-01,,,,,,,,
2019-09-01,,,,,,,,
2019-10-01,,,,,,,,
2019-11-01,,,,,,,,
2019-12-01,,,,,,,,
