,Астраханская область,Волгоградская область,Иркутская область,Кабардино-Балкарская Республика,Кемеровская область,Краснодарский край,Красноярский край,Курганская область,Ленинградская область,Нижегородская область,Новосибирская область,Омская область,Оренбургская область,Пермский край,Приморский край,Республика Башкортостан,Республика Дагестан,Республика Калмыкия,Республика Коми,Республика Марий Эл,Республика Татарстан (Татарстан),Ростовская область,Рязанская область,Саратовская область,Сахалинская область,Тверская область,Томская область,Тюменская область,Ярославская область
2013-12-01,11281.898121983999,11941.005644822684,12247.267283270394,,9400.0,10456.957838533099,11661.233688969834,10289.63454422904,9717.2923680706,9315.717536313437,13215.216993429376,8549.389426032587,10038.427398764316,9741.070949556412,17994.5,7788.6704286988,7388.742641397681,7771.61904610712,10416.489875432195,6266.039551104,,10231.33525864414,5775.723753151595,11025.7049339509,12091.227990286487,9900.0,11536.576713621627,7448.868256415224,5728.657227821467
2014-01-01,11281.898121983999,11606.657486767648,11947.209234830269,,9192.26,11112.609095009124,12147.507133799876,10289.63454422904,9717.2923680706,8988.735850788835,12222.754197222832,7462.762029983846,9309.637569614026,8696.828143763965,17994.5,7493.479819451113,7897.827009389981,7771.61904610712,9111.30369404054,6285.464273712422,,9250.150207340164,5931.090722111373,9939.672997956737,12151.68413023792,10330.65,11788.07408597858,7860.045784169344,5366.606091023151
2014-02-01,11281.898121983999,11272.385751148742,10595.979870370966,,10022.321077999999,10529.197117521146,11948.28801680556,9310.061335618435,9717.2923680706,9426.487286722251,14938.650179845745,7140.370710288544,9895.213772742749,9002.956494424458,17994.5,7840.4279350917,7533.737184257103,7701.674474692155,10309.440129806871,6378.489144963366,,10703.348804913305,5631.570640644749,8693.238004012961,12154.114467063968,10094.078115,11021.849270389972,9170.315416390375,5763.734941758864
2014-03-01,11281.898121983999,11607.17560795786,11317.566099543228,,9663.5219834076,12313.896028940979,13714.244985689418,9554.915948745202,9717.2923680706,10224.910759907625,14938.650179845745,9173.234251507693,11284.501786435832,10087.812752002603,17994.5,8274.787642695781,9334.30037129455,7701.674474692155,10512.53610036407,6341.493907922579,,10455.031112639317,6660.458596690545,9377.395834928779,12670.664331914184,10094.078115,11246.694995505928,9170.315416390375,6862.87919515228
2014-04-01,11281.898121983999,12275.748922976234,14776.21429956364,,10068.423554512377,13179.562919775533,14729.099114630439,10779.856173374335,9717.2923680706,9862.948919006894,17654.4967825417,10758.369130168221,11686.230050032947,10040.400032068192,17994.5,9228.043179134336,9476.181736938226,7701.674474692155,11051.829202312745,6295.201002394743,,10116.288104589803,6906.229518908425,10726.803095575031,12452.728905405262,10354.505330367,12425.34863103495,9741.626066831494,7059.157540133634
2014-05-01,11281.898121983999,12543.36024949712,13564.564726999419,,10921.219029579575,12502.13338569907,14462.502420655628,10779.856173374335,9717.2923680706,9574.950810571892,19012.12758511916,10963.853980554435,12401.427329094964,9806.458711321004,17994.5,9196.66783232528,7534.512099039584,8601.2300533362,10424.085303621378,6276.315399387559,,10014.113594733444,6766.033059674585,10822.271643125649,12490.087092121477,10632.006073220835,13843.080909836037,9741.626066831494,6677.963032966417
2014-06-01,11281.898121983999,12543.36024949712,13488.603164528224,,11217.18406528118,10796.842391889715,14676.547456481332,10974.971570112411,9717.2923680706,10541.063347358597,18559.63894859332,11230.27563228191,12370.423760772228,10430.14948536102,17994.5,9410.950192818458,8709.142535279856,8410.282746152136,11172.534628421394,6257.486453189397,,10014.113594733444,6831.663580353428,12005.145933719283,12512.569248887297,10314.109091631532,14099.177906668005,9741.626066831494,6607.176624816975
2014-07-01,11281.898121983999,12543.36024949712,13560.092761300224,,10870.573077663992,10545.275964158685,14676.547456481332,10956.31411844322,9717.2923680706,10376.622759139806,14665.826697178445,9806.276682108562,11842.206666187256,10345.665274529594,17994.5,9077.802555992683,9007.866124239958,8410.282746152136,11316.66032512803,6257.486453189397,,10014.113594733444,6908.1782124533875,10592.140257320521,12512.569248887297,10687.479840748594,14099.177906668005,9843.913140533225,6710.248580164119
2014-08-01,11281.898121983999,12543.36024949712,13043.453227094686,,10452.05601417393,10402.914738642545,14676.547456481332,10956.31411844322,11483.896120585836,10348.605877690126,17651.789012723973,10349.544410297378,11825.627576854595,10188.411162356746,18894.225,8542.212205189117,8471.898089847678,8410.282746152136,11359.663634363518,6257.486453189397,,10014.113594733444,6682.971602727406,10746.785505077401,12555.111984333516,10423.499088682103,14007.533250274662,9843.913140533225,7206.806975096263
2014-09-01,11281.898121983999,12543.36024949712,14707.797858871967,,9922.136774255312,10436.2040658062,14676.547456481332,11268.56907081885,11483.896120585836,9761.839924425096,17651.789012723973,11228.220730731626,12530.434980435126,9902.11680869452,18894.225,8565.276178143127,7530.670212065601,8410.282746152136,10634.917094491126,6257.486453189397,,10014.113594733444,6626.834641264497,11749.460592701123,12779.848488853086,10376.593342783033,14007.533250274662,9843.913140533225,7202.482890911206
