ГПЗ,Компания,Тип,"Подключен к газопроводу - 1, нет - 0",Год ввода в эксплуатацию,"Численность сотрудников, чел","Установленная мощность по переработке природного и попутного газа, млрд куб. м","Установленная мощность по переработке нефти, стабильного газового конденсата, деэтанизированного конденсата, млн т","Установленная мощность по переработке нестабильного газового конденсата, млн т.","Глубина переработки, %",Окончание модернизации,"Глубина переработки (ожидаемая) после завершения модернизации, %","Автомобильный бензин, млн т","Дизельное топливо, млн т","Керосин, млн т","Нафта, млн т","Мазут, млн т","Прочее, млн т",Состояние_y,Имеющиеся установки,Планы по модернизации,Страна,Регион,Город,Адрес,Официальное название,"Высота над уровнем моря, м","Первичная переработка природного газа и ПНГ, млрд. м³/год","Первичная переработка нефти и конденсата, млн т/год",Объем производства пропана,Стабильный газовый конденсат,Объем производства гелия,Объем производства этана,Объем производства пропана.1,Объем производства бутана,Объем производства пентан-гексановой фракции,Широта,Долгота
Нефтегорский ГПЗ,АО «Нефтегорский газоперерабатывающий завод»,ГПЗ,0,1967,,0.74,,,,,,,,,,,,в эксплуатации,,,Россия,,Нефтегорск,"Самарская обл, г. Нефтегорск, 446600 ",,65.26,0.74,,,,,,,,,52.871539,51.218605
Няганьгазпереработка ГПЗ,ООО «Няганьгазпереработка»,ГПЗ,0,1988,,2.6,,,,,,,,,,,,в эксплуатации  ,,,Россия,,Нягань,"628616, Тюменская обл., Ханты-Мансийский автономный округ, г. Нягань, 29 км а/дороги Нягань-Талинка, стр.39.",,149.88,2.6,,,,,,,,,62.000502000000004,65.858402
Сосногорский ГПЗ,ООО «Газпром переработка»,ГПЗ,1,,,3.0,,2.5,,,,,,,,,,в эксплуатации  ,,,Россия,,Сосногорск,,,77.59,3,1.25,,,,,,,,63.575417,53.951712
Сургутский ГПЗ,ОАО «Сургутнефтегаз»,ГПЗ,0,1980,,7.5,,,,,,,,,,,,в эксплуатации  ,,,Россия,,Сургут,,,49.12,7.5,,,,,,,,,61.276545,73.04595
Оренбургский ГПЗ,ООО «Газпром переработка»,ГПЗ,1,,,37.5,,6.3,,,,,,,,,,в эксплуатации  ,,,Россия,,Оренбург,,,206.44,37.5,6.26,,,,,,,,51.871086,54.762211
Оренбургский гелиевый завод,ООО «Газпром переработка»,,1,,,15.0,,,,,,,,,,,,в эксплуатации  ,,,Россия,,Оренбург,,,219.54,15,,,,,,,,,51.87151,54.705391000000006
Отрадненский ГПЗ,АО «Отрадненский газоперерабатывающий завод»,ГПЗ,0,1962,,1.1,,,,,,,,,,,,в эксплуатации  ,,,Россия,,Отрадный,"Самарская обл, г. Отрадный, 446301",,52.35,1.1,,,,,,,,,53.350739000000004,51.309709000000005
Пермский ГПЗ,ООО «ЛУКОЙЛ-Пермнефтеоргсинтез»,ГПЗ,0,1991,,1.46,,,,,,,,,,,,в эксплуатации  ,,,Россия,,Пермь,"614055, Российская Федерация, г. Пермь, ул. Промышленная, 84",,,1.46,,,,,,,,,57.880655000000004,56.168583999999996
Пермский ГПЗ,ООО «ЛУКОЙЛ-Пермнефтеоргсинтез»,ГПЗ,0,1991,,1.46,,,,,,,,,,,,в эксплуатации  ,,,Россия,,Пермь,"614055, Российская Федерация, г. Пермь, ул. Промышленная, 84",,,1.46,,,,,,,,,57.880655000000004,56.168583999999996
Пуровский ЗПК,ПАО «НОВАТЭК»,ГПЗ,0,2005,,,12.0,,,,,,,,,,,в эксплуатации  ,,,Россия,,Тарко-Сале,"Ямало-Ненецкий АО, Пуровский р-н, рзд.Лимбей, 629880",,27.46,,12,,,,,,,,65.081317,77.81599
Туймазинский ГПЗ,АО «ОНК»,ГПЗ,0,1953,,0.73,,,,,,,,,,,,в эксплуатации  ,,,Россия,,Туймазы,"Башкортостан Респ, Туймазинский р-н, д.Нуркеево, ул.Промышленная, д.42, 452774",,178.94,0.73,,,,,,,,,54.566389,53.679885999999996
Усинский ГПЗ,ООО «ЛУКОЙЛ-Коми»,ГПЗ,0,1980,,0.6,,,,,,,,,,,,в эксплуатации  ,,,Россия,,Усинск,"169710, Республика Коми, г. Усинск, ул. Возейская, 21а",,70.06,0.6,,,,,,,,,66.136736,57.349491
Усть-Кутский ГПЗ,ООО «Иркутская нефтяная компания»,ГПЗ,0,2022,,,,,,,,,,,,,,строится,,,Россия,,Усть-Кут,"664000, Россия, г. Иркутск, пр-кт Большой Литейный, д. 4",,,,,,,,,,,,56.828126,106.012573
Шкаповский ГПЗ,АО «ОНК»,ГПЗ,0,1959,,0.04,,,,,,,,,,,,в эксплуатации  ,,,Россия,,Приютово,"Башкортостан Респ, Белебеевский р-н, рп.Приютово, б-р.Мира, д.7А, пом.2, 452017",,326.4,0.04,,,,,,,,,53.928931000000006,53.990936
Южно-Балыкский ГПЗ,АО «СибурТюменьГаз»,ГПЗ,1,1978,,2.9,,,,,,,,,,,,в эксплуатации  ,,,Россия,,Пыть-Ях,"628387, Тюменская обл., Ханты-Мансийский автономный округ, г. Пыть-Ях, микрорайон №7, дом 7 """"А""""",,64.47,2.9,,,,,,,,,60.687868,72.859998
Южно-Приобский ГПЗ,ООО «Газпром переработка»,ГПЗ,0,,,0.9,,,,,,,,,,,,в эксплуатации  ,,,Россия,,Ханты-Мансийск,,,51.81,0.9,,,,,,,,,61.100207999999995,70.196972
Якутский ГПЗ,АО «САХАТРАНСНЕФТЕГАЗ»,ГПЗ,0,1994,,,,,,,,,,,,,,в эксплуатации  ,,,Россия,,Якутск,,,213.58,,,,,,,,,,62.069428,129.650645
Завод по стабилизации конденсата,ООО «Газпром переработка»,,0,,,3.0,12.1,,,,,,,,,,,в эксплуатации  ,,,Россия,,Сургут,,,60.98,3,14.1,,,,,,,,61.28335,72.994709
Завод по подготовке конденсата к транспорту,ООО «Газпром переработка»,,0,,,,,13.7,,,,,,,,,,в эксплуатации  ,,,Россия,,Новый Уренгой,,,45.16,,13.7,,,,,,,,66.106335,76.85623199999999
Завод по производству метанола,ООО «Газпром переработка»,,0,,,,,,,,,,,,,,,в эксплуатации  ,,,Россия,,Томск,,,131.8,,,,,,,,,,56.620354000000006,85.005169
"Комплекс приема, хранения и отгрузки сжиженных углеводородных газов",ООО «Иркутская нефтяная компания»,,0,,,,0.25,,,,,,,,,,,в эксплуатации  ,,,Россия,,Усть-Кут,,,,,, 0.16 млн. тонн/год, 0.25 млн. тонн/год   ,,,,,,56.820999,106.015148
