,0.1,1,"Глубина переработки, %","Выход светлых нефтепродуктов, %",Индекс Нельсона,ИК,Кратность запасов газа добыче,Кратность запасов нефти добыче,Цены на бензин 2013,Цены на бензин 2018,Акцизы на нефтепродукты (суб.бюджет) 2014,Акцизы на нефтепродукты (суб.бюджет) 2017,НДПИ (нефть) 2014,НДПИ (нефть) 2017,Задолженность по НДПИ 2014,Задолженность по НДПИ 2017,Задолженность по акцизу на нефтепродукты 2014,Задолженность по акцизу на нефтепродукты 2017,Задолженность по налогам и сборам в добыче сырой нефти и природного газа 2014,Задолженность по налогам и сборам в добыче сырой нефти и природного газа 2017,НДПИ (газ горючий природный) 2014,НДПИ (газ горючий природный) 2017,НДПИ (газовый конденсат ) 2014,НДПИ (газовый конденсат ) 2017,Крэк-спред 2013,Крэк-спред 2018,Спарк-спред 2012,Спарк-спред 2018,Цены на мазут 2012,Цены на мазут 2018,Акцизы на нефтепродукты (факт. 2016 г. ),Акцизы на нефтепродукты (Прогноз 2017 г.),Цены на дизель 2013,Цены на дизель 2018
31,Республика Коми,Республика Коми,74.6,52.5,3.8,173.14043478260868,100.35,64.71,30.35485833333333,41.53489583333333,5266.167,5506.188,63765.342,84170.141,110.212,863.575,,,172.845,658.3939999999999,780.8639999999997,1024.353,83.725,598.693,19698.97573333552,20849.565578592123,1910.1641666666665,4362.495833333333,14164.429347672736,18645.509166917476,2419.69002344,1728.08382064169,32.39326345889232,45.150260089372985
32,Костромская область,Костромская область,,,,,,,28.502458333333333,40.98272916666667,,,,,1.545,1.2930000000000001,,,,,,,,,,,2660.5925,4267.909166666667,,,1754.42518614,1425.15829311789,30.90060377973282,42.976040903540905
33,Краснодарский край,Краснодарский край,57.55,57.20083333333333,1.2525,145.83983455743063,31.97,121.68,30.595579861111112,43.62026041666667,-346.093,41.48,4078.551,5552.884,17.119,17.555,12.386,,2.7630000000000003,8.165000000000001,1678.9470000000001,1706.664,1034.4180000000001,178.739,17597.849989421087,14334.650664662251,2845.9858333333336,4593.0250000000015,11289.65269225152,13770.09834868041,16536.04768433,13127.969465823999,30.4468776247562,42.934186607543616
34,Красноярский край,Красноярский край,70.4,56.0,3.6,125.35555555555555,536.35,81.97,29.06708333333333,40.68687499999999,6919.545,13095.319,106599.234,156857.475,21.246,15.682,0.102,38.82100000000001,6.016,19.743,1053.508,251.7,65.02600000000001,67.087,19123.22129940913,,1620.4083333333335,2988.9950000000013,11872.112458530282,,8957.650490799999,5974.28786506598,31.716666666666665,45.617102342961495
35,Курганская область,Курганская область,,,,,,,28.838779761904764,40.79209722222222,10.466,,,,1.652,2.955,,,,0.07300000000000001,,,,,18510.76992322288,18813.782547727395,,,10151.454503248628,9570.585951688834,2488.27789156,1800.1563481564606,31.66552568581781,42.36893055555557
36,Курская область,Курская область,,,,,,,28.29451666666667,41.777843750000024,,,,,1.6740000000000002,13.878,,20.195,0.003,0.075,,,,,,,,,,,2821.47250625,2050.89142472129,29.921688985922074,42.57293103448275
37,Ленинградская область,Ленинградская область,90.3,56.66722222222222,4.536333333333333,116.47797163599785,,,30.02524848484848,41.247759920634905,12980.368,13527.393999999998,,,2.168,4.675,,7.395,36.569,130.531,,,,,19066.01540925773,20080.477973535268,1910.1641666666665,4362.495833333333,11305.364683545107,17112.980686177703,5253.91797939,3955.98095470003,32.071146433327144,43.90383547008545
38,Липецкая область,Липецкая область,,,,,,,28.78467857142857,42.07128472222222,,0.28700000000000003,,,0.383,0.772,,,0.009000000000000001,,,,,,,,,,,,3211.744553,2562.85489603316,30.313872598162078,41.742651255075685
39,Магаданская область,Магаданская область,,,,,,,39.111875,52.61449305555556,,,,,61.39700000000001,63.44600000000001,,,,,,,,,,,2113.9066666666668,3834.848333333333,,,588.05663695,433.815864849487,43.8824922600619,61.48536172161173
40,Республика Марий Эл,Республика Марий Эл,84.4,59.43444444444444,1.7,58.85533333333333,,,28.79008449074074,39.819418367346934,0.212,0.258,,,0.745,0.383,,,,,,,,,17027.595443979084,18597.64093375937,,,8424.698234399984,9538.502968093844,1408.48747015,1110.63488760321,30.26798262204511,42.21650568181817
