,Рязанская область,Ярославская область,Республика Коми,Ленинградская область,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Республика Дагестан,Кабардино-Балкарская Республика,Республика Башкортостан,Республика Марий Эл,Республика Татарстан (Татарстан),Пермский край,Нижегородская область,Оренбургская область,Саратовская область,Курганская область,Тюменская область,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Сахалинская область,Приморский край,Тверская область
2018-02-01,101.99,90.91,110.97,86.67,,101.26,95.05,100,98.83,100,,97.73,103.65,84.08,100.78,102.1,107.1,94.6,100,97.39,,82.48,88.33,97.09,81.19,85.93,100,100.0,110.74
2018-03-01,86.07,102.18,89.31,100,,87.82,108.27,100,101.3,100,,91.99,93.72,109.38,96.07,91.73,91.42,93.43,100,100,,92.68,89.81,100.0,104.74,105.8,100,100.0,99.75
2018-04-01,100.09,126.81,113.99,100,,100.6,88.01,100,101.68,100,,100.46,105.35,124.1,105.41,116.35,99.38,109.83,100,100,,97.75,117.45,97.81,123.61,100,100,100.0,101.38
2018-05-01,127.67,117.45,126.67,117.65,,121.19,100,100,102.1,100,,137.51,103.71,131.18,118.93,120.11,138.13,118.23,100,100,,129.11,103.82,115.27,116.67,116.44,102.38,100.0,98.21
2018-06-01,126.38,100.86,114.14,100,,100.02,148.39,144.35,99.78,100,,127.48,101.97,85.91,104.57,108.78,111.33,118.23,100,108.04,,113.21,104.91,130.95,112.19,115.29,104.65,100.0,108.56
2018-07-01,93.85,92.07,105.73,111.15,,119.06,100,100,110.51,100,,93.8,99.54,94.5,97.55,100.21,83.04,103.79,100,100,,106.15,104.63,94.09,97.52,114.29,108.89,103.01,102.22
2018-08-01,100.84,107.07,100,100,,152.19,107.06,100,98.86,100,,100.59,107.17,112.46,100.64,100.34,97.33,98.14,100,119.37,,97.38,99.11,107.63,121.65,114.29,102.04,100.0,98.56
2018-09-01,104.71,115.52,100.66,112.11,,66.64,103.09,104.47,99.71,100,,105.21,107.78,112.35,107.12,106.2,109.68,113.33,100,99.2,,112.27,101.24,105.86,120.42,121.09,112,100.0,101.72
2018-10-01,110.35,103.98,101.96,100,,108.5,109.15,108.02,110.16,100,,111.45,105.24,112.2,102.66,104.18,116.13,104.6,100,94.6,,113.37,100.07,103.4,97.82,109.68,100,100.0,101.52
2018-11-01,107.65,81.32,100,100,,104.34,105.34,100,99.46,100,,103.7,96.33,64.42,103.87,105.63,99.13,99.46,100,91.94,,101.11,102.05,92.18,80,108.82,114.29,100.0,99.5
2018-12-01,69.08,81.19,95,100,,73.93,76.36,84.16,93.03,100,,77.2,100.0,56.67,90.42,74.01,70.62,89.08,100,103.67,,85.57,98.41,86.04,78.89,91.89,100,100.0,99.35
2019-01-01,76.56,104.4,97.19,100,,76.09,91.81,90.21,97.0,100,,73.56,96.66,205.49,87.89,91.62,103.31,81.04,100,100,,98.78,92.52,114.08,81.72,108.82,100,100.1,98.73
2019-02-01,136.78,128.67,108.17,100,,146.77,114.44,113.72,100.39,100,,124.54,99.16,122.87,96.29,111.53,116.52,110.81,100,100,,71.9,96.51,93.93,130.08,86.49,98.33,100.1,100.06
2019-03-01,122.54,106.1,100,100,,118.96,117.5,100.99,100.07,118.52,,114.49,99.5,92.68,103.09,115,102.39,110.03,100,122.85,,109.82,93.28,132.77,107.49,90.63,104.69,100.2,101.01
2019-04-01,99.64,97.75,100,100,,100,98.71,100.29,100.67,100,,105.97,103.68,101.72,99.09,105.21,103.99,110.96,100,100,,111.67,99.31,100,101.82,91.03,101.49,100.2,101.26
2019-05-01,103.58,97.96,100,100,,122.87,100,100.11,103.81,100,,105.28,102.5,96.09,104.46,99.67,101.28,100.73,100,100,,101.94,108.25,100,97.32,115.15,100,100.3,94.89
2019-06-01,88.41,71.54,98.41,100,,74.58,100,94.86,95.49,100,,91.4,100.39,77.77,101.8,86.16,81.34,85.82,100,100,,99.12,92.91,100,83.79,99.34,100,100.3,103.46
2019-07-01,81.76,126.28,100,100,,84.37,100,95.58,100.83,100,,76.83,98.38,105.81,93.17,90.75,109.87,86.9,100,100,,102.26,98.02,100,106.94,90.07,100,100.4,101.19
