index,id,geometry,Тип,Субъект,Название,Направление поставок (объекты трубопроводного транспорта),Направление поставок (перерабатывающие заводы),Направление поставок (терминалы),Направление поставок (страны),Направление поставок (города),link_to,Источники поставок (объекты трубопроводного транспорта),Источники поставок (города),Источники поставок (страны),link_from
171,CompressorStation298,"{'type': 'Point', 'coordinates': [54.795706, 55.54577]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Уфа",ЛПДС Нурлино,ЛПДС Языково,,,,,"""https://energybase.ru/compressor-station/lpds-yazykovo-ust-balyk-kurgan-ufa-almetyevsk""",ПНПС Чекмагуш,,,"""https://energybase.ru/compressor-station/iops-chekmagush-kaltasy-yazykovo-salavat"""
172,CompressorStation299,"{'type': 'Point', 'coordinates': [54.905189, 56.173697]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Уфа",ЛПДС Черкассы,ЛПДС Нурлино,,,,,"""https://energybase.ru/compressor-station/lpds-nurlino-ust-balyk-kurgan-ufa-almetyevsk""",ЛПДС Улу-Теляк,,,"""https://energybase.ru/compressor-station/lpds-ulu-telyak-ust-balyk-kurgan-ufa-almetyevsk"""
173,CompressorStation300,"{'type': 'Point', 'coordinates': [54.927573, 56.974261]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Аша",ЛПДС Улу-Теляк,ЛПДС Черкассы,,,,,"""https://energybase.ru/compressor-station/iops-cherkassy-2-ust-balyk-kurgan-ufa-almetyevsk""",ЛПДС Кропачево,,,"""https://energybase.ru/compressor-station/lpds-kropachevo-ust-balyk-kurgan-ufa-almetyevsk"""
174,CompressorStation301,"{'type': 'Point', 'coordinates': [54.99389, 57.967451]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Златоуст",ЛПДС Кропачево,ЛПДС Улу-Теляк,,,,,"""https://energybase.ru/compressor-station/lpds-ulu-telyak-ust-balyk-kurgan-ufa-almetyevsk""",НПС Бердяуш,,,"""https://energybase.ru/compressor-station/iops-berdyaush-ust-balyk-kurgan-ufa-almetyevsk"""
175,CompressorStation302,"{'type': 'Point', 'coordinates': [55.18062, 59.195945]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Златоуст",НПС Бердяуш,ЛПДС Кропачево,,,,,"""https://energybase.ru/compressor-station/lpds-kropachevo-ust-balyk-kurgan-ufa-almetyevsk""",ЛПДС Ленинск,,,"""https://energybase.ru/compressor-station/lpds-leninsk-ust-balyk-kurgan-ufa-almetyevsk"""
176,CompressorStation303,"{'type': 'Point', 'coordinates': [54.923295, 59.876432]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Миасс",ЛПДС Ленинск,НПС Бердяуш,,,,,"""https://energybase.ru/compressor-station/iops-berdyaush-ust-balyk-kurgan-ufa-almetyevsk""",НПС Травники,,,"""https://energybase.ru/compressor-station/iops-travniki-ust-balyk-kurgan-ufa-almetyevsk"""
177,CompressorStation304,"{'type': 'Point', 'coordinates': [54.898483, 60.531621]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Челябинск",НПС Травники,ЛПДС Ленинск,,,,,"""https://energybase.ru/compressor-station/lpds-leninsk-ust-balyk-kurgan-ufa-almetyevsk""",НПС Челябинск,,,"""https://energybase.ru/compressor-station/iops-chelyabinsk-ust-balyk-kurgan-ufa-almetyevsk"""
178,CompressorStation306,"{'type': 'Point', 'coordinates': [54.850006, 61.552513]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Челябинск",НПС Еткуль,НПС Челябинск,,,,,"""https://energybase.ru/compressor-station/iops-chelyabinsk-ust-balyk-kurgan-ufa-almetyevsk""",НПС Канаши,,,"""https://energybase.ru/compressor-station/iops-kanashi-ust-balyk-kurgan-ufa-almetyevsk"""
179,CompressorStation307,"{'type': 'Point', 'coordinates': [55.177054, 62.101915]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Челябинск",НПС Канаши,НПС Еткуль,,,,,"""https://energybase.ru/compressor-station/iops-etkul-ust-balyk-kurgan-ufa-almetyevsk""",ЛПДС Медведское,,,"""https://energybase.ru/compressor-station/lpds-medvedskoe-ust-balyk-kurgan-ufa-almetyevsk"""
180,CompressorStation308,"{'type': 'Point', 'coordinates': [55.229659, 63.010304]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Челябинск",ЛПДС Медведское,НПС Канаши,,,,,"""https://energybase.ru/compressor-station/iops-kanashi-ust-balyk-kurgan-ufa-almetyevsk""",НПС Мишкино,,,"""https://energybase.ru/compressor-station/iops-mishkino-ust-balyk-kurgan-ufa-almetyevsk"""
