index,id,geometry,Тип,Субъект,Название,Направление поставок (объекты трубопроводного транспорта),Направление поставок (перерабатывающие заводы),Направление поставок (терминалы),Направление поставок (страны),Направление поставок (города),link_to,Источники поставок (объекты трубопроводного транспорта),Источники поставок (города),Источники поставок (страны),link_from
260,CompressorStation417,"{'type': 'Point', 'coordinates': [58.918994, 60.958951]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Нижний Тагил",НПС Сосновка,ЛПДС Платина,,,,,"""https://energybase.ru/compressor-station/lpds-platina""",НПС Сосьва,,,"""https://energybase.ru/compressor-station/ops-sosva"""
261,CompressorStation418,"{'type': 'Point', 'coordinates': [59.067169, 61.891651]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Нижний Тагил",НПС Сосьва,НПС Сосновка,,,,,"""https://energybase.ru/compressor-station/ops-sosnovka""",НПС Крутое,,,"""https://energybase.ru/compressor-station/ops-krutov"""
262,CompressorStation419,"{'type': 'Point', 'coordinates': [59.273534, 62.946682]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Нижний Тагил",НПС Крутое,НПС Сосьва,,,,,"""https://energybase.ru/compressor-station/ops-sosva""",НПС Берёзовое,,,"""https://energybase.ru/compressor-station/ops-beryozovy"""
263,CompressorStation420,"{'type': 'Point', 'coordinates': [59.489465, 63.739243]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Тюмень",НПС Берёзовое,НПС Крутое,,,,,"""https://energybase.ru/compressor-station/ops-krutov""",НПС Ягодное,,,"""https://energybase.ru/compressor-station/ops-yagodnoe"""
264,CompressorStation421,"{'type': 'Point', 'coordinates': [49.291042, 130.458441]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Облучье",НПС-29 (Сковородино — Козьмино ВСТО-2),НПС-30 Облучье (Сковородино — Козьмино ВСТО-2),,,,,"""https://energybase.ru/compressor-station/ops-30-vsto-2""",НПС-27 (Сковородино — Козьмино ВСТО-2),,,"""https://energybase.ru/compressor-station/ops-27-vsto-2"""
265,CompressorStation422,"{'type': 'Point', 'coordinates': [48.901205, 134.897904]}",        Головная нефтеперекачивающая станция (ГНПС),"Россия, Хабаровск",НПС-1 Комсомольская,НПС-2 Сельгон,,,,,"""https://energybase.ru/compressor-station/ops-2-espo-komsomolsky-refinery""",,,,
266,CompressorStation423,"{'type': 'Point', 'coordinates': [49.60003, 135.410614]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Хабаровск",НПС-2 Сельгон,НПС-3 Амурская,,,,,"""https://energybase.ru/compressor-station/ops-3-espo-komsomolsky-refinery""",НПС-1 Комсомольская,,,"""https://energybase.ru/compressor-station/ops-1-espo-komsomolsky-refinery"""
267,CompressorStation424,"{'type': 'Point', 'coordinates': [50.1039, 136.308661]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Амурск",НПС-3 Амурская,,Комсомольский НПЗ,,,,"""https://energybase.ru/processing-plant/komsomolsk-refinery""",НПС-2 Сельгон,,,"""https://energybase.ru/compressor-station/ops-2-espo-komsomolsky-refinery"""
268,CompressorStation531,"{'type': 'Point', 'coordinates': [56.004734, 99.774914]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Братск",НПС-2 (Тайшет - Сковородино ВСТО-1),НПС-3 Братск (Тайшет - Сковородино ВСТО-1),,,,,"""https://energybase.ru/compressor-station/ops-3-vsto-1""",ГНПС-1 Тайшет,,,"""https://energybase.ru/compressor-station/hops-taishet-vsto-1"""
269,CompressorStation532,"{'type': 'Point', 'coordinates': [56.598708, 104.292033]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Усть-Кут",НПС-5 (Тайшет - Сковородино ВСТО-1),НПС-6 (Тайшет - Сковородино ВСТО-1),,,,,"""https://energybase.ru/compressor-station/ops-6-vsto-1""",НПС-4 Речушка (Тайшет - Сковородино ВСТО-1),,,"""https://energybase.ru/compressor-station/ops-4-vsto-1"""
270,CompressorStation533,"{'type': 'Point', 'coordinates': [52.992409, 126.343567]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Белогорск",НПС-23 (Сковородино — Козьмино ВСТО-2),НПС-24 (Сковородино — Козьмино ВСТО-2),,,,,"""https://energybase.ru/compressor-station/ops-24-vsto-2""",НПС-21 Сковородино,,,"""https://energybase.ru/compressor-station/ops-21-vsto-1"""
271,CompressorStation534,"{'type': 'Point', 'coordinates': [51.05781, 128.47646]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Белогорск",НПС-26 (Сковородино — Козьмино ВСТО-2),НПС-27 (Сковородино — Козьмино ВСТО-2),,,,,"""https://energybase.ru/compressor-station/ops-27-vsto-2""",НПС-24 (Сковородино — Козьмино ВСТО-2),,,"""https://energybase.ru/compressor-station/ops-24-vsto-2"""
272,CompressorStation609,"{'type': 'Point', 'coordinates': [59.74604, 64.814014]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Тюмень",НПС Ягодное,НПС Берёзовое,,,,,"""https://energybase.ru/compressor-station/ops-beryozovy""",ЛДПС Конда,,,"""https://energybase.ru/compressor-station/ldps-konda"""
273,CompressorStation610,"{'type': 'Point', 'coordinates': [57.075968, 47.952704]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Йошкар-Ола",НПС Прудки,НПС Килемары,,,,,"""https://energybase.ru/compressor-station/ops-kilemary""",НПС Дубники,,,"""https://energybase.ru/compressor-station/ops-dubniki"""
274,CompressorStation611,"{'type': 'Point', 'coordinates': [56.98861, 49.118661]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Йошкар-Ола",НПС Дубники,НПС Прудки,,,,,"""https://energybase.ru/compressor-station/ops-prudki""",ЛПДС Лазарево,,,"""https://energybase.ru/compressor-station/lpds-lazarevo"""
275,CompressorStation612,"{'type': 'Point', 'coordinates': [58.146069, 57.648354]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Лысьва",ЛПДС Лысьва,НПС Мостовая,,,,,"""https://energybase.ru/compressor-station/ops-mostovaya""",НПС Бисер,,,"""https://energybase.ru/compressor-station/ops-biser"""
276,CompressorStation614,"{'type': 'Point', 'coordinates': [56.860751, 50.217218]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Йошкар-Ола",ЛПДС Лазарево,НПС Студенец,,,,,"""https://energybase.ru/compressor-station/ops-studenets""",НПС Сюмси,,,"""https://energybase.ru/compressor-station/ops-syumsi"""
277,CompressorStation615,"{'type': 'Point', 'coordinates': [56.738085, 46.936255]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Йошкар-Ола",НПС Килемары,НПС Мелковка,,,,,"""https://energybase.ru/compressor-station/ops-melkovka""",НПС Прудки,,,"""https://energybase.ru/compressor-station/ops-prudki"""
278,CompressorStation616,"{'type': 'Point', 'coordinates': [56.415186, 46.089572]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Чебоксары",НПС Мелковка,НПС Макарьево,,,,,"""https://energybase.ru/compressor-station/ops-makaryevo""",НПС Килемары,,,"""https://energybase.ru/compressor-station/ops-kilemary"""
279,CompressorStation617,"{'type': 'Point', 'coordinates': [56.187497, 44.957243]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Нижний Новгород",НПС Макарьево,НПС Горький,,,,,"""https://energybase.ru/compressor-station/ops-gorky""",НПС Мелковка,,,"""https://energybase.ru/compressor-station/ops-melkovka"""
280,CompressorStation618,"{'type': 'Point', 'coordinates': [55.989788, 44.204006]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Нижний Новгород",НПС Горький,НПС Степаньково,,,,,"""https://energybase.ru/compressor-station/ops-stepankovo""",НПС Макарьево,,,"""https://energybase.ru/compressor-station/ops-makaryevo"""
281,CompressorStation619,"{'type': 'Point', 'coordinates': [56.028416, 42.745914]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Нижний Новгород",НПС Степаньково,НПС Филино,,,,,"""https://energybase.ru/compressor-station/ops-filino""",НПС Горький,,,"""https://energybase.ru/compressor-station/ops-gorky"""
282,CompressorStation620,"{'type': 'Point', 'coordinates': [56.371732, 41.58856]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Ковров",НПС Филино,НПС Залесье,,,,,"""https://energybase.ru/compressor-station/ops-zalesye""",НПС Степаньково,,,"""https://energybase.ru/compressor-station/ops-stepankovo"""
283,CompressorStation621,"{'type': 'Point', 'coordinates': [57.024426, 40.751614]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Иваново",НПС Залесье,ЛПДС-1 Ярославль,,,,,"""https://energybase.ru/compressor-station/hops-1-yaroslavl""",НПС Филино,,,"""https://energybase.ru/compressor-station/ops-filino"""
284,CompressorStation622,"{'type': 'Point', 'coordinates': [57.736119, 38.39315]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Ярославль",НПС Палкино,НПС Инякино,,,,,"""https://energybase.ru/compressor-station/ops-inyakino""",ЛПДС-1 Ярославль,,,"""https://energybase.ru/compressor-station/hops-1-yaroslavl"""
285,CompressorStation623,"{'type': 'Point', 'coordinates': [57.586038, 37.206852]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Бежецк",НПС Инякино,НПС Тучево,,,,,"""https://energybase.ru/compressor-station/ops-tuchevo""",НПС Палкино,,,"""https://energybase.ru/compressor-station/ops-palkino"""
286,CompressorStation624,"{'type': 'Point', 'coordinates': [57.192622, 35.863624]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Тверь",НПС Тучево,ЛПДС Торжок,,,,,"""https://energybase.ru/compressor-station/lpds-torzhok""",НПС Инякино,,,"""https://energybase.ru/compressor-station/ops-inyakino"""
287,CompressorStation625,"{'type': 'Point', 'coordinates': [56.958642, 34.778595]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Торжок",ЛПДС Торжок,НПС Борисово,,,,,"""https://energybase.ru/compressor-station/ops-borisovo""",НПС Тучево,,,"""https://energybase.ru/compressor-station/ops-tuchevo"""
288,CompressorStation626,"{'type': 'Point', 'coordinates': [56.769354, 33.532677]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Ржев",НПС Борисово,НПС-5 Андреаполь,,,,,"""https://energybase.ru/compressor-station/iops-andreapol-unecha-ust-luga""",ЛПДС Торжок,,,"""https://energybase.ru/compressor-station/lpds-torzhok"""
289,CompressorStation627,"{'type': 'Point', 'coordinates': [56.20844, 30.627732]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Великие Луки",НПС Великие Луки,НПС Невель,,,,,"""https://energybase.ru/compressor-station/ops-nevel""",НПС-5 Андреаполь,,,"""https://energybase.ru/compressor-station/iops-andreapol-unecha-ust-luga"""
290,CompressorStation628,"{'type': 'Point', 'coordinates': [55.847485, 29.473097]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Невель",НПС Невель,ЛПДС Полоцк,,,,,"""https://energybase.ru/compressor-station/lpds-polotsk""",НПС Великие Луки,,,"""https://energybase.ru/compressor-station/ops-velikie-luki"""
291,CompressorStation629,"{'type': 'Point', 'coordinates': [55.49733, 28.53836]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Беларусь, Полоцк",ЛПДС Полоцк,,,,,,,НПС Невель,,,"""https://energybase.ru/compressor-station/ops-nevel"""
292,CompressorStation630,"{'type': 'Point', 'coordinates': [58.629396, 60.199263]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Нижняя Тура",ЛПДС Платина,НПС Арбатская,,,,,"""https://energybase.ru/compressor-station/ops-arbatskaya""",НПС Сосновка,,,"""https://energybase.ru/compressor-station/ops-sosnovka"""
293,CompressorStation631,"{'type': 'Point', 'coordinates': [57.244949, 55.412357]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Оса",ЛПДС Оса,НПС Уральская,,,,,"""https://energybase.ru/compressor-station/ops-uralskaya""",ЛПДС Пермь,,,"""https://energybase.ru/compressor-station/lpds-perm"""
294,CompressorStation632,"{'type': 'Point', 'coordinates': [56.176091, 40.966559]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Владимир",ППС Второво,НПС Филино,,,,,"""https://energybase.ru/compressor-station/ops-filino""",НПС Степаньково,,,"""https://energybase.ru/compressor-station/ops-stepankovo"""
295,CompressorStation634,"{'type': 'Point', 'coordinates': [55.495485, 43.349562]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Арзамас",НПС Балахониха,НПС Ермишь,,,,,"""https://energybase.ru/compressor-station/lops-ermish""",ЛПДС Староликеево,,,"""https://energybase.ru/compressor-station/lpds-starolikeevo"""
296,CompressorStation635,"{'type': 'Point', 'coordinates': [56.468601, 38.350632]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Москва",НПС Лобково,,,,,Москва,,,,,
297,CompressorStation636,"{'type': 'Point', 'coordinates': [54.764862, 42.311364]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Рязань",НПС Ермишь,НПС Шилово,,,,,"""https://energybase.ru/compressor-station/lops-shilovo""",НПС Балахониха,,,"""https://energybase.ru/compressor-station/lops-balahoniha"""
298,CompressorStation637,"{'type': 'Point', 'coordinates': [54.285922, 40.864549]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Рязань",НПС Шилово,НПС Рязань,,,,,"""https://energybase.ru/compressor-station/lops-ryazan""",НПС Ермишь,,,"""https://energybase.ru/compressor-station/lops-ermish"""
299,CompressorStation638,"{'type': 'Point', 'coordinates': [54.538265, 39.748707]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Рязань",НПС Рязань,,,,,,,НПС Шилово,,,"""https://energybase.ru/compressor-station/lops-shilovo"""
300,CompressorStation735,"{'type': 'Point', 'coordinates': [54.131301, 101.870328]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Тулун",НПС Кимильтей,,,,,,,ПНПС Тулун,,,"""https://energybase.ru/compressor-station/ops-tulun"""
301,CompressorStation736,"{'type': 'Point', 'coordinates': [53.38312, 123.9771]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Китай, Нерюнгри",НПС Мохэ,,,,,,,НПС-21 Сковородино,,,"""https://energybase.ru/compressor-station/ops-21-vsto-1"""
302,CompressorStation737,"{'type': 'Point', 'coordinates': [53.468889, 51.613333]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Самара",ПНПС Ерзовка,ПНПС Комсомолец,,,,,"""https://energybase.ru/compressor-station/iops-komsomolets""",ПНПС Бугуруслан,,,"""https://energybase.ru/compressor-station/ops-buguruslan"""
303,CompressorStation738,"{'type': 'Point', 'coordinates': [53.59943, 52.48237]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Бугуруслан",ПНПС Бугуруслан,,,,,,,ПНПС Поповка,,,"""https://energybase.ru/compressor-station/ops-popovka"""
304,CompressorStation739,"{'type': 'Point', 'coordinates': [54.17409, 53.27167]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Бугуруслан",ПНПС Поповка,ПНПС Бугуруслан,,,,,"""https://energybase.ru/compressor-station/ops-buguruslan""",ЛПДС Субханкулово,,,"""https://energybase.ru/compressor-station/lpds-subhankulovo-ust-balyk-kurgan-ufa-almetyevsk"""
305,CompressorStation740,"{'type': 'Point', 'coordinates': [50.41901, 33.64631]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Украина, Сумы",ПНПС Глинско-Розбышевская,ПНПС Ерзовка,,,,,"""https://energybase.ru/compressor-station/ops-erzovka""",ПНПС Головашевка,,,"""https://energybase.ru/compressor-station/iops-golovashevka"""
306,CompressorStation742,"{'type': 'Point', 'coordinates': [49.402592, 40.068742]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Каменск-Шахтинский",ПНПС Великоицкая,ПНПС Новый Айдар,,,,,"""https://energybase.ru/compressor-station/ops-novy-aydar""",ПНПС ПСП-915,,,"""https://energybase.ru/compressor-station/iops-psp-915"""
307,CompressorStation743,"{'type': 'Point', 'coordinates': [57.101688, 65.739398]}",        Нефтепродуктоперекачивающая станция (НППС),"Россия, Тюмень",ППС Тюмень,,,,,,,ЛПДС Торгили,,,"""https://energybase.ru/compressor-station/lpds-torgili"""
308,CompressorStation745,"{'type': 'Point', 'coordinates': [54.549401, 53.830074]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Туймазы",ЛПДС Субханкулово (ТОН),ЛПДС Языково (ТОН),,,,,"""https://energybase.ru/compressor-station/lpds-yazykovo--ton""",,,,
309,CompressorStation746,"{'type': 'Point', 'coordinates': [54.674318, 54.789681]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Туймазы",ЛПДС Языково (ТОН),ЛПДС Нурлино (ТОН),,,,,"""https://energybase.ru/compressor-station/lpds-nurlino--ton""",ЛПДС Субханкулово (ТОН),,,"""https://energybase.ru/compressor-station/lpds-subhankulovo-ton"""
310,CompressorStation747,"{'type': 'Point', 'coordinates': [54.797706, 55.54777]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Уфа",ЛПДС Нурлино (ТОН),ЛПДС Черкассы (ТОН),,,,,"""https://energybase.ru/compressor-station/ipds-cherkassy-ton""",ЛПДС Языково (ТОН),,,"""https://energybase.ru/compressor-station/lpds-yazykovo--ton"""
311,CompressorStation748,"{'type': 'Point', 'coordinates': [54.907189, 56.175697]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Уфа",ЛПДС Черкассы (ТОН),ЛПДС Кропачево (ТОН),,,,,"""https://energybase.ru/compressor-station/lpds-kropachevo-ton""",ЛПДС Нурлино (ТОН),,,"""https://energybase.ru/compressor-station/lpds-nurlino--ton"""
312,CompressorStation749,"{'type': 'Point', 'coordinates': [54.99589, 57.969451]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Златоуст",ЛПДС Кропачево (ТОН),НПС Бердяуш (ТОН),,,,,"""https://energybase.ru/compressor-station/iops-berdyaush-ton""",ЛПДС Черкассы (ТОН),,,"""https://energybase.ru/compressor-station/ipds-cherkassy-ton"""
313,CompressorStation750,"{'type': 'Point', 'coordinates': [55.18262, 59.197945]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Златоуст",НПС Бердяуш (ТОН),ЛПДС Ленинск (ТОН),,,,,"""https://energybase.ru/compressor-station/lpds-leninsk-ton""",ЛПДС Кропачево (ТОН),,,"""https://energybase.ru/compressor-station/lpds-kropachevo-ton"""
314,CompressorStation751,"{'type': 'Point', 'coordinates': [52.31946, 30.89079]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Беларусь, Гомель",ПНПС Гомель,ПНПС Защебье,,,,,"""https://energybase.ru/compressor-station/iops-zashchebje""",ПНПС Новозыбков,,,"""https://energybase.ru/compressor-station/iops-novozybkov"""
315,CompressorStation752,"{'type': 'Point', 'coordinates': [52.18361, 29.88521]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Беларусь, Мозырь",ПНПС Защебье,ПНПС Мозырь,,,,,"""https://energybase.ru/compressor-station/iops-mozyr""",ПНПС Гомель,,,"""https://energybase.ru/compressor-station/iops-gomel"""
316,CompressorStation753,"{'type': 'Point', 'coordinates': [51.92267, 29.26483]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Беларусь, Мозырь",ПНПС Мозырь,,,,,,,ПНПС Защебье,,,"""https://energybase.ru/compressor-station/iops-zashchebje"""
317,CompressorStation754,"{'type': 'Point', 'coordinates': [52.779496, 51.109943]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Нефтегорск",НПС Кулешовка,ЛПДС Самара,,,,,"""https://energybase.ru/compressor-station/ldps-samara""",,,,
318,CompressorStation755,"{'type': 'Point', 'coordinates': [48.57792, 51.649464]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Казахстан, Атырау",ПНПС Индер,ПНПС Большой Чаган,,,,,"""https://energybase.ru/compressor-station/ops-bolshoy-chagan""",ГНПС Атырау (КТК Тенгиз - Новороссийск),,,"""https://energybase.ru/compressor-station/iops-atyrau-tengiz-novorossiysk"""
319,CompressorStation756,"{'type': 'Point', 'coordinates': [50.92639, 51.123719]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Казахстан, Атырау",ПНПС Большой Чаган,ПНПС Большая Черниговка,,,,,"""https://energybase.ru/compressor-station/iops-bolshaya-chernigovka""",ПНПС Индер,,,"""https://energybase.ru/compressor-station/ops-inderborskaya"""
320,CompressorStation757,"{'type': 'Point', 'coordinates': [54.923495, 59.874432]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Миасс",ЛПДС Ленинск (ТОН),НПС Травники (ТОН),,,,,"""https://energybase.ru/compressor-station/iops-travnik-ton""",НПС Бердяуш (ТОН),,,"""https://energybase.ru/compressor-station/iops-berdyaush-ton"""
321,CompressorStation758,"{'type': 'Point', 'coordinates': [54.896483, 60.533621]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Челябинск",НПС Травники (ТОН),НПС Челябинск (ТОН),,,,,"""https://energybase.ru/compressor-station/iops-chelyabinsk-ton""",ЛПДС Ленинск (ТОН),,,"""https://energybase.ru/compressor-station/lpds-leninsk-ton"""
322,CompressorStation759,"{'type': 'Point', 'coordinates': [55.022777, 61.362694]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Челябинск",НПС Челябинск (ТОН),ЛПДС Медведское (ТОН),,,,,"""https://energybase.ru/compressor-station/lpds-medvedskoe-ton""",НПС Травники (ТОН),,,"""https://energybase.ru/compressor-station/iops-travnik-ton"""
323,CompressorStation760,"{'type': 'Point', 'coordinates': [55.227659, 63.012304]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Челябинск",ЛПДС Медведское (ТОН),ЛПДС Юргамыш (ТОН),,,,,"""https://energybase.ru/compressor-station/lpds-urgamysh-ton""",НПС Челябинск (ТОН),,,"""https://energybase.ru/compressor-station/iops-chelyabinsk-ton"""
324,CompressorStation761,"{'type': 'Point', 'coordinates': [55.337784, 64.517925]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Курган",ЛПДС Юргамыш (ТОН),НПС Варгаши,,,,,"""https://energybase.ru/compressor-station/iops-vargashy-ton""",ЛПДС Медведское (ТОН),,,"""https://energybase.ru/compressor-station/lpds-medvedskoe-ton"""
325,CompressorStation762,"{'type': 'Point', 'coordinates': [55.331918, 65.855881]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Курган",НПС Варгаши,ЛПДС Суслово,,,,,"""https://energybase.ru/compressor-station/lpds-suslovo-ton""",ЛПДС Юргамыш (ТОН),,,"""https://energybase.ru/compressor-station/lpds-urgamysh-ton"""
326,CompressorStation763,"{'type': 'Point', 'coordinates': [55.191504, 67.422549]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Макушино",ЛПДС Суслово,,,,,,,,,Россия,
327,CompressorStation766,"{'type': 'Point', 'coordinates': [44.710451, 37.852922]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Новороссийск",ПНБ Шесхарис,,,,,,,ПНБ Грушовая,,,"""https://energybase.ru/compressor-station/ttf-grushovaya"""
328,CompressorStation767,"{'type': 'Point', 'coordinates': [44.802469, 41.392515]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Армавир",НПС Успенская,НПС Прогресс,,,,,"""https://energybase.ru/compressor-station/lops-progress""",НПС Подкумок,,,"""https://energybase.ru/compressor-station/ops-podkumok"""
329,CompressorStation768,"{'type': 'Point', 'coordinates': [45.273678, 40.779533]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Армавир",НПС Прогресс,ПНПС Тихорецкая,,,,,"""https://energybase.ru/compressor-station/iops-tikhoreckaya""",НПС Успенская,,,"""https://energybase.ru/compressor-station/lops-uspenskaya"""
330,CompressorStation769,"{'type': 'Point', 'coordinates': [52.398648, 76.881638]}",        Головная нефтеперекачивающая станция (ГНПС),"Казахстан, Павлодар",ГНПС Павлодар,НПС Экибастуз,,,,,"""https://energybase.ru/compressor-station/ops-ekibastuz""",ЛПДС Омская,,,"""https://energybase.ru/compressor-station/ldps-omskaya"""
331,CompressorStation772,"{'type': 'Point', 'coordinates': [50.503647, 44.940742]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Котово",ПНПС Новомлиново,ПНПС Зензеватка,,,,,"""https://energybase.ru/compressor-station/iops-zenzevatka""",ЛНДС Красноармейск,,,"""https://energybase.ru/compressor-station/iops-krasnoarmeysk"""
332,CompressorStation773,"{'type': 'Point', 'coordinates': [57.244572, 69.151962]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Тобольск",НПС Новопетрово,,,,,,,НПС Вагай,,,"""https://energybase.ru/compressor-station/iops-vagay"""
333,CompressorStation774,"{'type': 'Point', 'coordinates': [55.934701, 71.617212]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Тюкалинск",НПС Чумановка,,,,,,,НПС Абатская,,,"""https://energybase.ru/compressor-station/iops-abatskaya"""
334,CompressorStation775,"{'type': 'Point', 'coordinates': [55.546522, 72.654026]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Омск",НПС Бекишево,ЛПДС Омская,,,,,"""https://energybase.ru/compressor-station/ldps-omskaya""",,,,
335,CompressorStation776,"{'type': 'Point', 'coordinates': [44.749537, 37.880688]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Новороссийск",ПНБ Грушовая,ПНБ Шесхарис,,,,,"""https://energybase.ru/compressor-station/ttf-sheskharis""",ЛПДС Крымская,,,"""https://energybase.ru/compressor-station/ldps-krymskaya"""
336,CompressorStation777,"{'type': 'Point', 'coordinates': [44.118048, 39.124997]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Туапсе",ПНБ Заречье,,,,,,,ЛПДС Хадыженская,,,"""https://energybase.ru/compressor-station/ldps-hadyjenskya"""
337,CompressorStation789,"{'type': 'Point', 'coordinates': [56.123931, 44.105558]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Нижний Новгород",ЛПДС Староликеево,НПС Степаньково,,,,,"""https://energybase.ru/compressor-station/ops-stepankovo""",ЛПДС Воротынец,,,"""https://energybase.ru/compressor-station/lpds-vorotynets"""
338,CompressorStation791,"{'type': 'Point', 'coordinates': [54.922247, 68.873334]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Казахстан, Петропавловск",НПС Петерфельд,НПС Булаево,,,,,"""https://energybase.ru/compressor-station/ps-bulaevo""",ЛПДС Суслово,,,"""https://energybase.ru/compressor-station/lpds-suslovo-ton"""
339,CompressorStation792,"{'type': 'Point', 'coordinates': [54.912756, 70.353978]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Казахстан, Петропавловск",НПС Булаево,ЛПДС Москаленки,,,,,"""https://energybase.ru/compressor-station/ldps-moskalenki""",НПС Петерфельд,,,"""https://energybase.ru/compressor-station/ps-peterfeld"""
340,CompressorStation793,"{'type': 'Point', 'coordinates': [65.403408, 80.728483]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Уренгой",НПС-2 (Ванкор - Пурпе),ЛДПС Пурпе,,,,,"""https://energybase.ru/compressor-station/ldps-purpe""",НПС-1 (Ванкор - Пурпе),,,"""https://energybase.ru/compressor-station/ops-1-vankor-purpe"""
341,CompressorStation794,"{'type': 'Point', 'coordinates': [66.353768, 82.614312]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Уренгой",НПС-1 (Ванкор - Пурпе),НПС-2 (Ванкор - Пурпе),,,,,"""https://energybase.ru/compressor-station/ops-2-vankor-purpe""",ЦПС Ванкорского месторождения,,,"""https://energybase.ru/compressor-station/ccp-vankorskoye-field"""
