,Название,Тип:,"Электрическая мощность,  Мвт",Годовая выработка электричества:,Город:,Координаты:,"Тепловая мощность, Гкал/ч",Отпуск т/э с коллекторов:,КИУМ электрической мощности:,Адрес:,Удельный расход условного топлива на э/э (УРУТ э.э.):,Удельный расход условного топлива на т/э (УРУТ т.э.):,"Электрическая мощность, Гкал/ч","Тепловой коэффициент, Гкал/МВт*ч"
202,Саранская ТЭЦ-2, Теплоэлектроцентраль ,340.0, 1 116.81 млн. кВт*ч, Саранск, Широта: 54.217101 Долгота: 45.209266,778.0, 1 793 тыс. Гкал,," 430017, г. Саранск, Александровское шоссе, д 13",,,292.3473,2.288235294117647
203,Зарамагская ГЭС-1, Гидроэлектростанция ,337.0, 812 млн. кВт*ч, Мизур, Широта: 42.845041 Долгота: 44.042738,,,," 362008, Республика Северная Осетия-Алания, г. Владикавказ, ул. Первомайская, д.34",,,289.767765,
204,Томская ГРЭС-2, Теплоэлектроцентраль ,331.0, 1 372.62 млн. кВт*ч, Томск, Широта: 56.473056 Долгота: 84.996389,815.0,, 52.40 %,, 325.01 г/кВт•ч, 134.90 кг/Гкал,284.608695,2.4622356495468276
205,Уфимская ТЭЦ-4, Теплоэлектроцентраль ,330.0, 1 107.50 млн. кВт*ч, Уфа, Широта: 54.913056 Долгота: 56.071944,792.0, 1 754.04 тыс. Гкал,,,, 143 кг/Гкал,283.74885,2.4
206,Алтайская КЭС (Мунайская ТЭС), Тепловая электростанция ,330.0,, Солтон, указать местонахождение электростанции,,,,,,,283.74885,
207,ТЭЦ-11 им М.Я.Уфаева, Теплоэлектроцентраль ,330.0, 1 572 млн. кВт*ч, Москва, Широта: 55.752778 Долгота: 37.730278,1011.0, 2 319 тыс. Гкал,," 111024, г. Москва, шоссе Энтузиастов, д.32",,,283.74885,3.0636363636363635
208,Орловская ТЭЦ, Теплоэлектроцентраль ,330.0, 1 139.44 млн. кВт*ч, Орёл, Широта: 52.987898 Долгота: 36.098328,725.0,,,,,,283.74885,2.196969696969697
209,ТЭЦ ММК, Теплоэлектроцентраль ,330.0,, Магнитогорск, Широта: 53.395357 Долгота: 59.019928,590.0,,,,,,283.74885,1.7878787878787878
210,Ивановская ТЭЦ-3, Теплоэлектроцентраль ,330.0, 1 077.69 млн. кВт*ч, Иваново, Широта: 56.961367 Долгота: 41.109550,1076.0,,,,,,283.74885,3.2606060606060607
211,Пермская ТЭЦ-14, Теплоэлектроцентраль ,330.0, 1 779.11 млн. кВт*ч, Пермь, Широта: 58.019171 Долгота: 55.884211,941.0,,,,,,283.74885,2.8515151515151516
212,Ярославская ТЭЦ-2, Теплоэлектроцентраль ,325.0, 977.16 млн. кВт*ч, Ярославль, Широта: 57.651111 Долгота: 39.837500,1185.0,,,,,,279.44962499999997,3.646153846153846
213,Ивановские ПГУ, Тепловая электростанция ,325.0, 550.67 млн. кВт*ч, Комсомольск, Широта: 57.023139 Долгота: 40.384793,14.8, 94.16 тыс. Гкал, 14.80 %,, 261.40 г/кВт•ч,,279.44962499999997,0.04553846153846154
214,Майнская ГЭС, Гидроэлектростанция ,321.0, 1 720 млн. кВт*ч, Саяногорск, Широта: 52.970375 Долгота: 91.495518,,,,,,,276.010245,
215,Автовская ТЭЦ-15, Теплоэлектроцентраль ,321.0, 1 097.50 млн. кВт*ч, Санкт-Петербург, Широта: 59.870086 Долгота: 30.286883,1849.0, 3 000 тыс. Гкал, 39 %," Санкт-Петербург, ул. Броневая, 6",,,276.010245,5.7601246105919
216,Зеленчукская ГЭС-ГАЭС, Гидроэлектростанция ,320.0,, Пятигорск, Широта: 43.898333 Долгота: 41.882500,,,,,,,275.1504,
217,Каргалинская ТЭЦ, Теплоэлектроцентраль ,320.0, 1 460.20 млн. кВт*ч, Каргала, Широта: 51.866104 Долгота: 54.774056,1030.0,,,,,,275.1504,3.21875
218,ТЭЦ Ачинского глинозёмного комбината (ТЭЦ АГК), Теплоэлектроцентраль ,320.0,, Ачинск, Широта: 56.233178 Долгота: 90.404198,980.0,,,,,,275.1504,3.0625
219,Нижне-Бурейская ГЭС, Гидроэлектростанция ,320.0, 1 650 млн. кВт*ч, Новобурейский, Широта: 49.789133 Долгота: 129.979248,,,," 676722, Российская Федерация, Амурская область, Бурейский район, поселок Новобурейский, мкр. Гидростроителей, стр. 2, литер 3.",,,275.1504,
220,ТЭЦ-1 Котласского ЦБК, Теплоэлектроцентраль ,320.0,, Коряжма, Широта: 61.303180 Долгота: 47.120748,,,,,,,275.1504,
221,Челябинская ТЭЦ-2, Теплоэлектроцентраль ,320.0, 1 741.63 млн. кВт*ч, Челябинск, Широта: 55.153333 Долгота: 61.499722,956.0,,,,,,275.1504,2.9875
222,Приобская ГТЭС, Газотурбинная электростанция ,315.0,, Ханты-Мансийск, Широта: 61.106954 Долгота: 70.242946,,,,,,,270.851175,
223,Ветровая электростанция г. Усть-Луга, Ветряная электростанция ,300.0,, Усть-Луга, указать местонахождение электростанции,,,," г. Усть-Луга, Ленинградская область",,,257.95349999999996,
224,Ветропарк пос. Лодейное, Ветряная электростанция ,300.0,,, указать местонахождение электростанции,,,," городское поселение Туманный, Кольский район, Мурманская область",,,257.95349999999996,
225,Карачаево-Черкесская ВЭС, Ветряная электростанция ,300.0,,, указать местонахождение электростанции,,,," Зеленчукский район, Карачаево-Черкесская Республика",,,257.95349999999996,
226,Волгоградская ТЭЦ-2, Теплоэлектроцентраль ,300.0, 815.09 млн. кВт*ч, Волгоград, Широта: 48.503056 Долгота: 44.608889,1112.0,,," 400029, г. Волгоград, ул. Моцарта 17",,,257.95349999999996,3.7066666666666666
227,Новокузнецкая ГТЭС, Газотурбинная электростанция ,298.0,, Новокузнецк, Широта: 53.766775 Долгота: 87.250564,,,,,,,256.23381,
228,Волгоградская ТЭЦ-3, Теплоэлектроцентраль ,296.0, 1 008.13 млн. кВт*ч, Волгоград, Широта: 48.457500 Долгота: 44.668333,801.0,,,,,,254.51412,2.706081081081081
229,Ижевская ТЭЦ-1, Теплоэлектроцентраль ,290.0, 340.83 млн. кВт*ч, Ижевск, Широта: 56.845381 Долгота: 53.178345,615.0,,,,,,249.35505,2.1206896551724137
230,ТЭЦ-ПВС, Теплоэлектроцентраль ,286.0,, Череповец, Широта: 59.137248 Долгота: 37.848415,,,,,,,245.91566999999998,
231,Амурская ТЭЦ-1, Теплоэлектроцентраль ,285.0, 443.66 млн. кВт*ч, Амурск, Широта: 50.227442 Долгота: 136.882095,1169.0, 664.48 тыс. Гкал, 23.93 %,, 406.50 г/кВт•ч,,245.055825,4.101754385964912
232,ТЭЦ НЛМК, Теплоэлектроцентраль ,282.0,, Липецк, Широта: 52.555768 Долгота: 39.600091,,,,,,,242.47629,
233,Благовещенская ТЭЦ, Теплоэлектроцентраль ,280.0, 1 106.09 млн. кВт*ч, Благовещенск, Широта: 50.285278 Долгота: 127.489722,817.0, 2 130.58 тыс. Гкал, 57.53 %,, 331.80 г/кВт•ч,,240.7566,2.9178571428571427
234,Петрозаводская ТЭЦ, Теплоэлектроцентраль ,280.0, 1 079.96 млн. кВт*ч, Петрозаводск, Широта: 61.803611 Долгота: 34.275556,689.0, 1 560.70 тыс. Гкал, 44 %," Республика Карелия, Петрозаводск, Пограничная ул., 25",,,240.7566,2.460714285714286
235,Вилюйская ГЭС-3 (Светлинская ГЭС), Гидроэлектростанция ,277.5, 573 млн. кВт*ч, Светлый (Якутия), Широта: 63.071134 Долгота: 113.491516,,,,,,,238.6069875,
236,Смоленская ТЭЦ-2, Теплоэлектроцентраль ,275.0, 1 516.17 млн. кВт*ч, Смоленск, Широта: 54.771336 Долгота: 32.143850,965.3,,,,,,236.45737499999998,3.510181818181818
237,ТЭЦ-9, Теплоэлектроцентраль ,274.8, 1 214 млн. кВт*ч, Москва, Широта: 55.705000 Долгота: 37.650000,575.0, 1 197 тыс. Гкал,," 115280, г. Москва, ул. Автозаводская, д.12, корп.1",,,236.285406,2.0924308588064044
238,Иркутская ТЭЦ-6, Теплоэлектроцентраль ,270.0, 1 135.90 млн. кВт*ч, Братск, Широта: 56.122651 Долгота: 101.596541,1529.3,,,,,,232.15814999999998,5.664074074074074
239,Воркутинская ТЭЦ-2, Теплоэлектроцентраль ,270.0, 1 132.10 млн. кВт*ч, Воркута, Широта: 67.610556 Долгота: 64.081389,429.0, 586.38 тыс. Гкал,,,,,232.15814999999998,1.5888888888888888
240,Абаканская ТЭЦ, Теплоэлектроцентраль ,270.0, 1 462.58 млн. кВт*ч, Абакан, Широта: 53.719444 Долгота: 91.321944,625.0,,,,,,232.15814999999998,2.314814814814815
241,Верхнетуломская ГЭС, Гидроэлектростанция ,268.0, 800 млн. кВт*ч, Мурманск, Широта: 68.606667 Долгота: 31.747778,,,," Мурманская обл., п. Мурмаши, ул. Советская, 1",,,230.43846,
242,Нижнетуринская ГРЭС, Теплоэлектроцентраль ,484.0, 1 250.82 млн. кВт*ч, Нижняя Тура, Широта: 58.614139 Долгота: 59.853694,522.0,,," 624221 Свердловская область, г. Н-Тура, ул. Нагорная, 22",,,416.16498,1.078512396694215
243,Апатитская ТЭЦ, Теплоэлектроцентраль ,266.0, 434.18 млн. кВт*ч, Апатиты, Широта: 67.598056 Долгота: 33.422778,590.0, 1 513.36 тыс. Гкал, 18.60 %," Мурманская обл., г. Апатиты",,,228.71877,2.218045112781955
244,Выборгская ТЭЦ-17, Теплоэлектроцентраль ,250.5, 620 млн. кВт*ч, Санкт-Петербург, Широта: 59.969444 Долгота: 30.376667,1056.0, 1 087.86 тыс. Гкал, 28.30 %," Санкт-Петербург, ул. Жукова, 26",,,215.39117249999998,4.2155688622754495
245,Орская ТЭЦ-1, Теплоэлектроцентраль ,245.0, 1 199.59 млн. кВт*ч, Орск, Широта: 51.240816 Долгота: 58.498550,629.0,,,,,,210.662025,2.5673469387755103
246,ТЭС Полярная, Тепловая электростанция ,242.0,, Салехард, указать местонахождение электростанции,,,,,,,208.08249,
247,Комсомольская ТЭЦ-2, Теплоэлектроцентраль ,240.5, 845.53 млн. кВт*ч, Комсомольск-на-Амуре, Широта: 50.540654 Долгота: 137.037170,786.0, 1 758.22 тыс. Гкал, 46.37 %,, 363.40 г/кВт•ч,,206.7927225,3.268191268191268
248,Ново-Зиминская ТЭЦ, Теплоэлектроцентраль ,240.0, 926.59 млн. кВт*ч, Саянск, Широта: 54.033006 Долгота: 102.035131,832.7,,,,,,206.3628,3.4695833333333335
249,"ТЭС ""Международная""", Теплоэлектроцентраль ,236.0,, Москва, Широта: 55.760299 Долгота: 37.527988,390.0,,,,,,202.92342,1.652542372881356
250,Тамбовская ТЭЦ, Теплоэлектроцентраль ,235.0, 914.85 млн. кВт*ч, Тамбов, Широта: 52.753334 Долгота: 41.478539,947.0,,,,,,202.063575,4.029787234042553
251,Центральная котельная [г.Астрахань], Теплоэлектроцентраль ,235.0,, Астрахань, Широта: 46.419577 Долгота: 48.099604,420.0,,,,,,202.063575,1.7872340425531914
252,Новомосковская ГРЭС, Теплоэлектроцентраль ,233.7, 421.22 млн. кВт*ч, Новомосковск, Широта: 54.086389 Долгота: 38.237500,813.0,,,,,,200.9457765,3.478818998716303
253,Челябинская ТЭЦ-1, Теплоэлектроцентраль ,232.8, 528.28 млн. кВт*ч, Челябинск, Широта: 55.133889 Долгота: 61.477500,1341.0,,,,,,200.171916,5.760309278350515
254,Ленская ТЭС (газовая ТЭС в Усть-Куте), Тепловая электростанция ,230.0,, Усть-Кут, указать местонахождение электростанции,,,,,,,197.76434999999998,
255,Новоберезниковская ТЭЦ, Теплоэлектроцентраль ,230.0,, Березники, Широта: 59.424387 Долгота: 56.773653,,,,,,,197.76434999999998,
256,ПГУ-ТЭЦ Рыбинск, Тепловая электростанция ,230.0,, Рыбинск, Широта: 58.042141 Долгота: 38.759251,,,,,,,197.76434999999998,
257,Камчатская ТЭЦ-1, Теплоэлектроцентраль ,229.0, 241.56 млн. кВт*ч, Петропавловск-Камчатский, Широта: 52.969944 Долгота: 158.680556,364.57,,,, 392.34 г/кВт•ч,,196.904505,1.5920087336244542
258,ТЭЦ Академическая, Теплоэлектроцентраль ,228.4,, Екатеринбург, Широта: 56.770906 Долгота: 60.553293,393.0,,,,,,196.388598,1.7206654991243433
259,Ново-Стерлитамакская ТЭЦ, Теплоэлектроцентраль ,225.0, 1 383.11 млн. кВт*ч, Стерлитамак, Широта: 53.666142 Долгота: 55.884919,1511.0, 1 990.17 тыс. Гкал,,,, 133.10 кг/Гкал,193.465125,6.7155555555555555
260,ГТЭС Московская область, Газотурбинная электростанция ,225.0, 3.31 млн. кВт*ч, Москва, указать местонахождение электростанции,,,,,,,193.465125,
261,Дягилевская ТЭЦ, Теплоэлектроцентраль ,225.0, 495.29 млн. кВт*ч, Рязань, Широта: 54.676528 Долгота: 39.624083,421.0,,,,,,193.465125,1.8711111111111112
262,Аркагалинская ГРЭС, Теплоэлектроцентраль ,224.0, 42.20 млн. кВт*ч, Мяунджа, Широта: 63.034167 Долгота: 147.180556,151.0, 63.15 тыс. Гкал, 3.32 %,, 1 138.14 г/кВт•ч,,192.60528,0.6741071428571429
263,Саратовская ТЭЦ-2, Теплоэлектроцентраль ,224.0, 824.37 млн. кВт*ч, Саратов, Широта: 51.452778 Долгота: 45.918333,755.0,,,,,,192.60528,3.3705357142857144
264,ТЭЦ Архангельского ЦБК, Теплоэлектроцентраль ,224.0,, Новодвинск, Широта: 64.430415 Долгота: 40.831976,,,,,,,192.60528,
265,Курганская ТЭЦ-2, Теплоэлектроцентраль ,222.0,, Курган, Широта: 55.490833 Долгота: 65.361111,250.0,,," пр. Маршала Голикова, 39",,,190.88558999999998,1.1261261261261262
266,Миатлинская ГЭС, Гидроэлектростанция ,220.0, 690 млн. кВт*ч, Кизилюрт, Широта: 43.067222 Долгота: 46.830000,,,,,,,189.1659,
267,"Агвали ГЭС, каскад ГЭС на р. Андийское Койсу", Гидроэлектростанция ,220.0, 680 млн. кВт*ч,, указать местонахождение электростанции,,,,,,,189.1659,
268,Казанская ТЭЦ-1, Теплоэлектроцентраль ,220.0, 830.23 млн. кВт*ч, Казань, Широта: 55.760640 Долгота: 49.125538,630.0,,,,,,189.1659,2.8636363636363638
269,Тихвинская ТЭЦ, Газопоршневая электростанция ,220.0,, Тихвин, Широта: 59.604803 Долгота: 33.485647,60.0,,,,,,189.1659,0.2727272727272727
270,Волжская ТЭЦ-2, Теплоэлектроцентраль ,220.0, 928.68 млн. кВт*ч, Волжский, Широта: 48.775000 Долгота: 44.839722,1095.0,,," 404130, Волгоградская область, г. Волжский, ул. Александрова д. 52",,,189.1659,4.9772727272727275
271,"ГТЭС ""ГОРОДЕЦКАЯ""", Газотурбинная электростанция ,217.9,, Москва, Широта: 55.722687 Долгота: 37.870997,270.0,,," 111672, Москва, Салтыковская улица, владение 4б",,,187.36022549999998,1.2391005048187242
272,"ГТЭС ""ТЕРЕШКОВО""", Газотурбинная электростанция ,217.9,, Москва, Широта: 55.659601 Долгота: 37.401452,150.0,,," 119618, Москва, Боровское шоссе, д.4",,,187.36022549999998,0.6883891693437356
273,Нижне-Суянская ГЭС, Гидроэлектростанция ,213.0, 578.80 млн. кВт*ч, с. Нижний Суян, указать местонахождение электростанции,,,,,,,183.146985,
274,Цимлянская ГЭС, Гидроэлектростанция ,211.5, 676.50 млн. кВт*ч, Цимлянск, Широта: 47.606111 Долгота: 42.112222,0.0,,,,,,181.8572175,0.0
