,0.1,1,"Глубина переработки, %",Кратность запасов газа добыче,Кратность запасов нефти добыче,Цены на бензин 2013,Цены на бензин 2018,Акцизы на нефтепродукты (суб.бюджет) 2014,Акцизы на нефтепродукты (суб.бюджет) 2017,НДПИ (нефть) 2014,НДПИ (нефть) 2017,Задолженность по НДПИ 2014,Задолженность по НДПИ 2017,Задолженность по акцизу на нефтепродукты 2014,Задолженность по акцизу на нефтепродукты 2017,Задолженность по налогам и сборам в добыче сырой нефти и природного газа 2014,Задолженность по налогам и сборам в добыче сырой нефти и природного газа 2017,НДПИ (газ горючий природный) 2014,НДПИ (газ горючий природный) 2017,НДПИ (газовый конденсат ) 2014,НДПИ (газовый конденсат ) 2017,Крэк-спред 2013,Крэк-спред 2018,Спарк-спред 2012,Спарк-спред 2018,Цены на мазут 2012,Цены на мазут 2018
37,Ленинградская область,Ленинградская область,90.3,,,30.02524848484848,41.24775992063491,12980.368,13527.393999999998,,,2.168,4.675,,7.395,36.569,130.531,,,,,19066.015409257732,20080.477973535268,1910.1641666666665,4362.495833333333,11305.364683545107,17112.980686177703
38,Липецкая область,Липецкая область,,,,28.78467857142857,42.07128472222222,,0.28700000000000003,,,0.38299999999999995,0.772,,,0.009000000000000001,,,,,,,,,,,
39,Магаданская область,Магаданская область,,,,39.111875,52.614493055555556,,,,,61.39700000000001,63.44600000000001,,,,,,,,,,,2113.9066666666668,3834.848333333333,,
40,Республика Марий Эл,Республика Марий Эл,84.4,,,28.79008449074074,39.81941836734694,0.212,0.258,,,0.745,0.38299999999999995,,,,,,,,,17027.595443979084,18597.640933759372,,,8424.698234399984,9538.502968093844
41,Республика Мордовия,Республика Мордовия,,,,29.021597222222216,41.33947916666668,,,,,1.4460000000000002,0.542,,,91.182,,,,,,,,,,,
42,Москва,Москва,,,,31.025000000000002,42.927673737373745,15386.366000000002,14491.051000000001,-0.079,-0.003,53.983999999999995,3268.9570000000012,51.52,15.205,815.3639999999997,3515.3230000000012,0.008,,,,,,,,,
43,Московская область,Московская область,80.3,,,29.85208506944444,42.07172222222223,73.335,125.459,,,23.733,20.612,0.942,7.8279999999999985,17.340999999999998,20.085,,,,,,,2660.5925,4267.909166666667,,
44,Мурманская область,Мурманская область,,,,31.259369047619046,43.34320833333333,4.776,,,,2.004,17.942999999999994,,,0.221,0.009000000000000001,,,,,,,,,,
45,Ненецкий АОк,Ненецкий автономный округ,,1815.18,67.87,33.00693055555556,44.53221875,,,33679.897000000004,56513.232,90.669,1.071,,,191.733,297.632,146.775,118.823,3.686,13.273,,,,,,
46,Нижегородская область,Нижегородская область,76.6,,,29.48875515873016,41.40376388888888,19290.304,31628.34,,,2.06,4.3870000000000005,,37.236,0.37799999999999995,0.006,,,,,18841.600611270835,20639.74366444371,,,10982.453611249,14660.79142803229
47,Республика Северная Осетия,Республика Северная Осетия-Алания ,,,,27.648334490740737,41.95862152777777,0.003,0.003,,,0.752,2.176,0.006,,0.081,0.4920000000000001,,,,,,,,,,
48,Новгородская область,Новгородская область,,,,29.705624999999998,41.76111458333334,,,,,1.492,6.772,,,,,,,,,,,,,,
49,Новосибирская область,Новосибирская область,,,151.52,28.233625000000004,39.84598412698413,0.899,2.06,2757.759,1436.576,7.8439999999999985,7.859,0.015,59.901,0.312,0.001,,,,,18967.739703511877,16937.088413183625,,,16025.759238510625,10053.926389340746
50,Омская область,Омская область,90.6,70.14,106.23,27.950800000000005,39.17239583333333,32439.62200000001,44113.27,2000.3039999999999,1554.98,0.961,1.533,480.904,480.86100000000016,0.5579999999999999,,3.381,1.169,0.08900000000000001,0.168,16837.85852924785,15133.897929282544,1620.4083333333335,2988.9950000000013,10116.145634960903,6461.793841248411
51,Орловская область,Орловская область,,,,28.734659722222222,41.66404166666667,,,,,0.4260000000000001,0.444,,,,0.001,,,,,,,,,,
52,Оренбургская область,Оренбургская область,72.2,58.84,48.69,29.204884469696974,40.97385227272727,2377.626,1067.962,101114.868,129776.67300000001,21.336,89.516,,,77.441,37.353,11680.027,15287.489,328.684,1244.497,18800.077578981574,21483.769132287973,1980.8891666666668,3622.26,11626.884624296456,18352.831720028113
53,Пензенская область,Пензенская область,,,197.67,29.591130952380954,41.49194444444444,,,657.8040000000002,668.659,0.422,1.151,,,0.008,,,,,,,,,,,
54,Пермская край,Пермский край,96.4,55.97,38.24,29.725375,41.8178125,12332.038999999999,17044.302,77601.225,111739.215,14.605,26.10700000000001,,,100.552,10.663,123.321,333.86199999999997,-4.5969999999999995,,19129.81978592405,17725.96718718812,1980.8891666666668,3622.26,12286.880602543839,4802.2987959656975
55,Приморский край,Приморский край,,,,32.291736111111106,40.754016666666665,,,,,15.825999999999999,5.12,0.057,0.057,,,,,,,15901.810715445628,12749.585871502954,2113.9066666666668,3834.848333333333,16150.414495138824,21834.01028454821
56,Псковская область,Псковская область,,,,29.666843749999998,41.651805555555555,,,,,1.298,0.7809999999999999,,,,,,,,,,,1910.1641666666665,4362.495833333333,,
57,Ростовская область,Ростовская область,97.8,160.26,,29.271135416666667,42.827406565656574,-29.566999999999997,-0.099,2.1060000000000003,,13.629,16.717000000000002,,,0.422,7.9979999999999976,235.535,331.6520000000001,-1.161,9.338,16395.525166683256,11401.508159431101,2845.9858333333336,4593.0250000000015,10320.930963909695,7922.096226659326
58,Рязанская область,Рязанская область,70.7,,,28.776974999999997,41.10526041666667,20128.245,28082.005,,,4.2589999999999995,2.968,,,,0.016,,,,,16846.77122108644,17802.629233227988,2660.5925,4267.909166666667,6798.88480484119,9602.50379299483
59,Сахалинская область,Сахалинская область,,362.32,18.8,33.81944444444445,43.334027777777784,131.82399999999998,144.707,3760.6,11029.526000000002,44.26,13.064,15.770999999999999,21.575,129.041,22.346999999999998,70.35300000000001,9.716,30.320999999999998,3.796,15316.18160362968,13870.637004545715,2113.9066666666668,3834.848333333333,9439.22076775265,18235.919539025926
60,Республика Саха,Республика Саха (Якутия),,1457.45,68.37,34.779500000000006,47.45265277777778,291.7630000000001,234.03599999999997,34530.393000000004,64986.049000000006,113.039,237.082,,,130.69400000000002,26.62,653.614,131.928,40.134,58.753,,,2113.9066666666663,3834.8483333333324,,
61,Самарская область,Самарская область,71.83333333333333,,36.48,29.451401041666667,41.2118125,23309.786,30903.581000000002,68586.067,104354.946,3.282,8.004,2.556,1.261,35.929,2.661,,,,,,,,,,
62,Саратовская область,Саратовская область,79.4,64.88,70.62,29.11671666666666,41.6935,7095.366,8220.733,4649.681000000001,8115.195000000002,15.93,29.023000000000003,24.967,0.8009999999999999,43.236999999999995,109.148,497.274,639.945,35.944,171.72400000000005,18628.06663966187,22751.0393617868,,,10671.728726167648,20212.928473218773
63,Смоленская область,Смоленская область,,,,30.032645833333337,41.98966666666667,,,,,4.14,5.3100000000000005,0.005,,,0.611,,,,,,,,,,
64,Ставропольский край,Ставропольский край,,255.1,116.96,30.178969246031745,43.306546875,-127.236,-3797.829,4132.459,6054.555,5.091,5.811,639.5540000000002,0.135,0.8430000000000001,0.012,153.48600000000005,200.645,27.776,5.14,,,2905.349166666667,4118.514166666666,,
