,Название,Тип:,"Электрическая мощность,  Мвт",Годовая выработка электричества:,Город:,Координаты:,"Тепловая мощность, Гкал/ч",Отпуск т/э с коллекторов:,КИУМ электрической мощности:,Адрес:,"Удельный расход условного топлива на э/э (УРУТ э.э.), г/кВт•ч:",Удельный расход условного топлива на т/э (УРУТ т.э.):,"Электрическая мощность, Гкал/ч","Тепловой коэффициент, Гкал/МВт*ч","Расход условного топлива на производство э/э, Гкал/Mвт•ч"
281,Партизанская ГРЭС, Теплоэлектроцентраль ,203.0, 615.30 млн. кВт*ч, Партизанск, Широта: 43.061500 Долгота: 133.135544,160.0, 228.88 тыс. Гкал, 51.80 %,,464.8,,174.54853500000002,0.7881773399014779,0.0032536
291,Джубгинская ТЭС, Тепловая электростанция ,198.0, 478.21 млн. кВт*ч, Дефановка, Широта: 44.438835 Долгота: 38.763556,0.0,, 36 %,,296.0,,170.24930999999995,0.0,0.002072
307,Электростанции Сахаэнерго, Дизельная электростанция ,178.7, 258 млн. кВт*ч, Якутск, указать местонахождение электростанции,16.0, 34.60 тыс. Гкал, 24 %,,404.95,,153.65430149999997,0.08953553441522105,0.00283465
315,Камчатская ТЭЦ-2, Теплоэлектроцентраль ,163.2, 723.12 млн. кВт*ч, Петропавловск-Камчатский, Широта: 53.011389 Долгота: 158.739444,820.08,,,,313.99,,140.32670399999998,5.025,0.00219793
317,Сочинская ТЭС, Теплоэлектроцентраль ,160.5, 991.97 млн. кВт*ч, Сочи, Широта: 43.594722 Долгота: 39.754444,50.0, 0 тыс. Гкал, 66.62 %,,266.3,,138.0051225,0.3115264797507788,0.0018640999999999998
343,Томская ТЭЦ-3, Теплоэлектроцентраль ,140.0, 775.02 млн. кВт*ч, Томск, Широта: 56.621111 Долгота: 85.042222,780.0,, 63.50 %,,268.39, 131.72 кг/Гкал,120.3783,5.571428571428571,0.00187873
349,Николаевская ТЭЦ, Теплоэлектроцентраль ,130.6, 248.23 млн. кВт*ч, Николаевск-на-Амуре, Широта: 53.134722 Долгота: 140.724389,321.2, 348.98 тыс. Гкал, 22.97 %,,513.4,,112.29575700000001,2.459418070444104,0.0035938000000000003
386,Райчихинская ГРЭС, Теплоэлектроцентраль ,102.0, 149.07 млн. кВт*ч, Прогресс, Широта: 49.748222 Долгота: 129.692187,238.1, 165.06 тыс. Гкал, 32.82 %,,543.3,,87.70419,2.334313725490196,0.0038031
413,Магаданская ТЭЦ, Теплоэлектроцентраль ,96.0, 118.30 млн. кВт*ч, Магадан, Широта: 59.583472 Долгота: 150.786944,495.0, 1 027.56 тыс. Гкал, 24.63 %,,466.86,,82.54512,5.15625,0.00326802
423,Центральные ЭС [Якутскэнерго], Дизельная электростанция ,88.4, 15.90 млн. кВт*ч, Якутск, указать местонахождение электростанции,15.8, 2.30 тыс. Гкал, 2 %,,489.36,,76.01029799999999,0.17873303167420815,0.00342552
432,Анадырская ТЭЦ, Теплоэлектроцентраль ,50.0, 123.90 млн. кВт*ч, Анадырь, Широта: 64.730472 Долгота: 177.499517,140.0, 241.80 тыс. Гкал, 21.49 %,,471.4,,42.99225,2.8,0.0032998000000000003
434,Сахалинская ГРЭС, Тепловая электростанция ,84.0, 353.80 млн. кВт*ч, Лермонтовка, Широта: 48.979090 Долгота: 142.964058,15.0, 38.65 тыс. Гкал, 21.91 %,,606.36,,72.22698000000001,0.17857142857142858,0.00424452
437,Майская ГРЭС, Тепловая электростанция ,80.85, 158.58 млн. кВт*ч, Майский, Широта: 49.005124 Долгота: 140.224686,15.4, 35.23 тыс. Гкал, 24.62 %,,676.1,,69.51846825,0.1904761904761905,0.004732699999999999
443,Западные ЭС [Якутскэнерго], Дизельная электростанция ,78.5, 6.37 млн. кВт*ч, Якутск, указать местонахождение электростанции,56.5, 21.20 тыс. Гкал, 1 %,,620.59,,67.4978325,0.7197452229299363,0.00434413
469,ДЭС ЮЭС, Дизельная электростанция ,60.06, 121.46 млн. кВт*ч, Петропавловск-Камчатский, указать местонахождение электростанции,71.8,,,,376.09,,51.642290700000004,1.1954711954711954,0.00263263
490,Чульманская ТЭЦ, Теплоэлектроцентраль ,48.0, 99.01 млн. кВт*ч, Чульман, Широта: 56.850357 Долгота: 124.909551,165.0, 344.24 тыс. Гкал, 23.50 %,,687.3,,41.27256,3.4375,0.0048111000000000004
502,ГТЭС Владивостокской ТЭЦ-1, Тепловая электростанция ,45.0, 14.22 млн. кВт*ч, Владивосток, Широта: 43.125833 Долгота: 131.878056,,, 1.37 %,,378.5,,38.693025,,0.0026495
525,Чаунская ТЭЦ, Теплоэлектроцентраль ,34.5, 60.76 млн. кВт*ч, Певек, Широта: 69.704444 Долгота: 170.290278,99.0, 150.03 тыс. Гкал, 21.48 %,,614.03,,29.664652500000003,2.8695652173913038,0.00429821
527,Эгвекинотская ГРЭС, Теплоэлектроцентраль ,34.0, 70.54 млн. кВт*ч, Эгвекинот, Широта: 66.401256 Долгота: -179.133804,92.0, 100.80 тыс. Гкал, 30.31 %,,610.65,,29.23473,2.7058823529411766,0.00427455
654,Томская ТЭЦ-1, Теплоэлектроцентраль ,14.7,, Томск, Широта: 56.482173 Долгота: 84.945101,815.5,, 38.70 %,,247.39, 153.42 кг/Гкал,12.639721499999998,55.47619047619048,0.00173173
672,Якутская ТЭЦ, Теплоэлектроцентраль ,12.0, 51.79 млн. кВт*ч, Якутск, Широта: 62.044286 Долгота: 129.763856,567.54, 1 051.30 тыс. Гкал, 52.78 %,,471.75,,10.31814,47.295,0.00330225
701,Центральные ЭС Камчатскэнерго, Тепловая электростанция ,8.6, 0.27 млн. кВт*ч, Петропавловск-Камчатский, указать местонахождение электростанции,,,,,385.9,,7.394666999999999,,0.0027013000000000002
711,Депутатская ТЭЦ, Теплоэлектроцентраль ,7.5, 8.10 млн. кВт*ч, п. Депутатский, Широта: 69.305077 Долгота: 139.974521,76.4, 69 тыс. Гкал, 28 %, п. Депутатский,697.0,,6.4488375,10.186666666666667,0.004879
728,Новиковская ДЭС, Тепловая электростанция ,4.8, 2.26 млн. кВт*ч, Новиково, Широта: 46.367957 Долгота: 143.352957,,, 7.76 %,,338.13,,4.127256,,0.00236691
